adc_data,i_data,q_data
0xfff05b80L,4095.00,1464.00,
0xfff05b80L,4095.00,1464.00,
0xfff0b9e0L,4095.00,2974.00,
0xfff0b9e0L,4095.00,2974.00,
0xfff0fff0L,4095.00,4095.00,
0xfff0fff0L,4095.00,4095.00,
0xafb0fff0L,2811.00,4095.00,
0xafb0fff0L,2811.00,4095.00,
0x52c0fff0,1324,4095,
0x52c0fff0,1324,4095,
0x370fff0,55,4095,
0xa3c0fff0L,2620.00,4095.00,
0xd3c0,0,3388,
0xd3c0,0,3388,
0x9380,0,2360,
0xfff0,0,4095,
0xc330,0,3123,
0xc330,0,3123,
0x7ca0,0,1994,
0x7ca0,0,1994,
0x3a50,0,933,
0x3a50,0,933,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x12f00000,303,0,
0x12f00000,303,0,
0x49f00000,1183,0,
0x92a00000L,2346.00,0.00,
0x92a00000L,2346.00,0.00,
0xe9200000L,3730.00,0.00,
0xe9200000L,3730.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff018d0L,4095.00,397.00,
0xfff018d0L,4095.00,397.00,
0xfff07530L,4095.00,1875.00,
0xfff07530L,4095.00,1875.00,
0xfff0d580L,4095.00,3416.00,
0xfff0d580L,4095.00,3416.00,
0xf820fff0L,3970.00,4095.00,
0xf820fff0L,3970.00,4095.00,
0x95e0fff0L,2398.00,4095.00,
0x95e0fff0L,2398.00,4095.00,
0x35d0fff0,861,4095,
0x35d0fff0,861,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xbaa0,0,2986,
0xbaa0,0,2986,
0x7400,0,1856,
0x7400,0,1856,
0x2f50,0,757,
0x2f50,0,757,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x25d00000,605,0,
0x68400000,1668,0,
0x3f00000,63,0,
0x38100000,897,0,
0x38100000,897,0,
0x7d800000,2008,0,
0x7d800000,2008,0,
0xd3d00000L,3389.00,0.00,
0xd3d00000L,3389.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00d50L,4095.00,213.00,
0xfff00d50L,4095.00,213.00,
0xfff06bd0L,4095.00,1725.00,
0xfff06bd0L,4095.00,1725.00,
0xfff0cf30L,4095.00,3315.00,
0xfff0cf30L,4095.00,3315.00,
0xfff0fff0L,4095.00,4095.00,
0xfff0fff0L,4095.00,4095.00,
0x9e90fff0L,2537.00,4095.00,
0x9e90fff0L,2537.00,4095.00,
0x3e00fff0,992,4095,
0x3e00fff0,992,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xcab0,0,3243,
0xcab0,0,3243,
0x8a80,0,2216,
0x8a80,0,2216,
0x4e60,0,1254,
0xff0,0,255,
0xff0,0,255,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x35d00000,861,0,
0x35d00000,861,0,
0x86800000L,2152.00,0.00,
0x86800000L,2152.00,0.00,
0xe8c00000L,3724.00,0.00,
0xe8c00000L,3724.00,0.00,
0xfff00000L,4095.00,0.00,
0x7b600000,1974,0,
0xd5a00000L,3418.00,0.00,
0xd5a00000L,3418.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff01530L,4095.00,339.00,
0xfff01530L,4095.00,339.00,
0xfff07a60L,4095.00,1958.00,
0xfff07a60L,4095.00,1958.00,
0xfff0e4b0L,4095.00,3659.00,
0xfff0e4b0L,4095.00,3659.00,
0xeb80fff0L,3768.00,4095.00,
0xeb80fff0L,3768.00,4095.00,
0x7ef0fff0,2031,4095,
0x7ef0fff0,2031,4095,
0x1570fff0,343,4095,
0xfa00,0,4000,
0xfa00,0,4000,
0xa960,0,2710,
0xa960,0,2710,
0x5d10,0,1489,
0x5d10,0,1489,
0x13d0,0,317,
0x13d0,0,317,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x25700000,599,0,
0x25700000,599,0,
0x66300000,1635,0,
0x66300000,1635,0,
0xb9900000L,2969.00,0.00,
0xb9900000L,2969.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff03d70L,4095.00,983.00,
0xfff03d70L,4095.00,983.00,
0xfff0a0c0L,4095.00,2572.00,
0xfff0a0c0L,4095.00,2572.00,
0xfff0fff0L,4095.00,4095.00,
0xfff0fff0L,4095.00,4095.00,
0xce80fff0L,3304.00,4095.00,
0x6520fff0,1618,4095,
0x6520fff0,1618,4095,
0x3f0fff0,63,4095,
0xa400fff0L,2624.00,4095.00,
0x4c40fff0,1220,4095,
0x4c40fff0,1220,4095,
0x9920,0,2450,
0x150fff0,21,4095,
0xcf80,0,3320,
0xcf80,0,3320,
0x8fa0,0,2298,
0x8fa0,0,2298,
0x5170,0,1303,
0x5170,0,1303,
0x11f0,0,287,
0x11f0,0,287,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x35300000,851,0,
0x35300000,851,0,
0x86d00000L,2157.00,0.00,
0x86d00000L,2157.00,0.00,
0xe7a00000L,3706.00,0.00,
0xe7a00000L,3706.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff02000L,4095.00,512.00,
0xfff08110L,4095.00,2065.00,
0xfff08110L,4095.00,2065.00,
0xfff0e320L,4095.00,3634.00,
0xfff0e320L,4095.00,3634.00,
0xec40fff0L,3780.00,4095.00,
0xec40fff0L,3780.00,4095.00,
0x87f0fff0L,2175.00,4095.00,
0x87f0fff0L,2175.00,4095.00,
0x27b0fff0,635,4095,
0x27b0fff0,635,4095,
0xf680,0,3944,
0xf680,0,3944,
0xadd0,0,2781,
0xadd0,0,2781,
0x69a0,0,1690,
0xef50,0,3829,
0xa600,0,2656,
0xa600,0,2656,
0x5bf0,0,1471,
0x5bf0,0,1471,
0x1320,0,306,
0x1320,0,306,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x8700000,135,0,
0x8700000,135,0,
0x43300000,1075,0,
0x43300000,1075,0,
0x8e700000L,2279.00,0.00,
0xe5b00000L,3675.00,0.00,
0xe5b00000L,3675.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff01030L,4095.00,259.00,
0xfff01030L,4095.00,259.00,
0xfff06760L,4095.00,1654.00,
0xfff06760L,4095.00,1654.00,
0xfff0c5c0L,4095.00,3164.00,
0xfff0c5c0L,4095.00,3164.00,
0xfff0fff0L,4095.00,4095.00,
0xfff0fff0L,4095.00,4095.00,
0xa3c0fff0L,2620.00,4095.00,
0xa3c0fff0L,2620.00,4095.00,
0x3f10fff0,1009,4095,
0x3f10fff0,1009,4095,
0xfff0,0,4095,
0xfff0,0,4095,
0xb710,0,2929,
0xb710,0,2929,
0x6b30,0,1715,
0x6b30,0,1715,
0x2630,0,611,
0x2630,0,611,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x1c300000,451,0,
0x52700000,1319,0,
0x52700000,1319,0,
0x9af00000L,2479.00,0.00,
0x11900000,281,0,
0x55200000,1362,0,
0x55200000,1362,0,
0xfff00000L,4095.00,0.00,
0xa9000000L,2704.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff03630L,4095.00,867.00,
0xfff03630L,4095.00,867.00,
0xfff090f0L,4095.00,2319.00,
0xfff090f0L,4095.00,2319.00,
0xfff0ebe0L,4095.00,3774.00,
0xfff0ebe0L,4095.00,3774.00,
0xe200fff0L,3616.00,4095.00,
0xe200fff0L,3616.00,4095.00,
0x7ec0fff0,2028,4095,
0x7ec0fff0,2028,4095,
0x1ef0fff0,495,4095,
0x1ef0fff0,495,4095,
0xf340,0,3892,
0xf340,0,3892,
0xa980,0,2712,
0xa980,0,2712,
0x6350,0,1589,
0x6350,0,1589,
0x1dd0,0,477,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x31a00000,794,0,
0x31a00000,794,0,
0x7cf00000,1999,0,
0x7cf00000,1999,0,
0xd6800000L,3432.00,0.00,
0xd6800000L,3432.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00450L,4095.00,69.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff033f0L,4095.00,831.00,
0xfff033f0L,4095.00,831.00,
0xfff093e0L,4095.00,2366.00,
0xfff093e0L,4095.00,2366.00,
0xfff0f260L,4095.00,3878.00,
0xfff0f260L,4095.00,3878.00,
0xe330fff0L,3635.00,4095.00,
0xe330fff0L,3635.00,4095.00,
0x8010fff0L,2049.00,4095.00,
0x8010fff0L,2049.00,4095.00,
0x2430fff0,579,4095,
0x2430fff0,579,4095,
0xfc10,0,4033,
0xbb00,0,2992,
0xbb00,0,2992,
0x7cb0,0,1995,
0x7cb0,0,1995,
0x3f50,0,1013,
0x3f50,0,1013,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x13300000,307,0,
0x13300000,307,0,
0x59600000,1430,0,
0x59600000,1430,0,
0xb0300000L,2819.00,0.00,
0xb0300000L,2819.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff04040L,4095.00,1028.00,
