 Address ; RegName ; Clk ; Rst ; Port ; Public ; Signal ; BitPos ; Default ; SW(R/W) ; HW(W) ; MCU(W) ; MISC ; Description 
;;;;;; reg_tone_fft_latch ; [20] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone_sym_wait ; [19:16] ; 4'h1 ; R/W ;;;;
;;;;;; reg_tone_sym_wait_11n2nd ; [15:12] ; 4'h0 ; R/W ;;;;
;;;;;; reg_tone_sym_wait_en ; [11] ; 1'h1 ; R/W ;;;;
;;;;;; reg_11n_2nd_dis_dc ; [10] ; 1'h0 ; R/W ;;;;
;;;;;; reg_11n_2nd_dis_tone ; [9] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone_cnt_init_en ; [8] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone_cnt_init ; [7:4] ; 4'h7 ; R/W ;;;;
;;;;;; reg_tone_cnt_init_ht20 ; [3:0] ; 4'h6 ; R/W ;;;;
 0x0028 ; BB_RESET ; pclk ; reset_n ;;;; [31:16] ; 16'h0 ; RO ;;;;
 ;;;; Not;;reg_bbclk_en;[15];1'h0;R/W;;;;
;;;;;; reg_test8_rst ; [14] ; 1'h0 ; R/W ;;;;
;;;;;; reg_test7_rst ; [13] ; 1'h0 ; R/W ;;;;
;;;;;; reg_test6_rst ; [12] ; 1'h0 ; R/W ;;;;
;;;;;; reg_test5_rst ; [11] ; 1'h0 ; R/W ;;;;
;;;;;; reg_test4_rst ; [10] ; 1'h0 ; R/W ;;;;
;;;;;; reg_test3_rst ; [9] ; 1'h0 ; R/W ;;;;
;;;;;; reg_test2_rst ; [8] ; 1'h0 ; R/W ;;;;
;;;;;; reg_test1_rst ; [7] ; 1'h0 ; R/W ;;;;
;;;;;; reg_test0_rst ; [6] ; 1'h0 ; R/W ;;;;
;;;;;; reg_brx_rst ; [5] ; 1'h0 ; R/W ;;;;
;;;;;; reg_agc_rst ; [4] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tx_rst ; [3] ; 1'h0 ; R/W ;;;;
;;;;;; reg_nrx_rst ; [2] ; 1'h0 ; R/W ;;;;
;;;;;; reg_fsm_rst ; [1] ; 1'h0 ; R/W ;;;;
;;;;;; reg_fft_rst ; [0] ; 1'h0 ; R/W ;;;;
 0x002c ; TONE_CTRL_6 ; pclk ; reset_n ;;;; [31:27] ; 5'h0 ; RO ;;;;
;;;;;; reg_tone_est_fb_en_4 ; [26] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone_est_fb_out_en_4 ; [25] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone_est_fb_en_3 ; [24] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone_est_fb_out_en_3 ; [23] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone_est_fb_en_2 ; [22] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone_est_fb_out_en_2 ; [21] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone_est_fb_en_1 ; [20] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone_est_fb_out_en_1 ; [19] ; 1'h0 ; R/W ;;;;
;;;;;; reg_tone_est_coef_4_lsb ; [18:16] ; 3'h0 ; R/W ;;;;
;;;;;; reg_tone_est_coef_3_lsb ; [15:13] ; 3'h0 ; R/W ;;;;
;;;;;; reg_tone_est_coef_2_lsb ; [12:10] ; 3'h0 ; R/W ;;;;
;;;;;; reg_tone_est_coef_1_lsb ; [9:7] ; 3'h0 ; R/W ;;;;
;;;;;; reg_demod_tone_gain_thr ; [6:0] ; 7'h28 ; R/W ;;;;
 0x0030 ; BB_FSM_CTRL ; pclk ; reset_n ;;;; [31:11] ; 21'h0 ; RO ;;;;
;;;;;; reg_agc_err_exit_en ; [10] ; 1'h1 ; R/W ;;;;
;;;;;; reg_tx_wait_delay ; [9:0] ; 10'h0 ; R/W ;;;;
 0x0034; DCDELTACONF0; pclk; reset_n;;;; [31:25]; 7'h0; RO ;;;;
;;;;;; reg_dc_est_clk_force; [24] ; 1'h0 ; R/W ;;;;
;;;;;; reg_dc_est_sel; [23:22] ; 2'h0 ; R/W ;;;;
;;;;;; reg_dc_corr_clk_sel; [21:20] ; 2'h1 ; R/W ;;;;
;;;;;; reg_dc_delay_cnt ; [19:8] ; 12'd255 ; R/W ;;;;
;;;;;; reg_dc_corr_delay_cycle ; [7:0] ; 8'd128 ; R/W ;;;;
 0x0038; DCDELTACONF1; pclk; reset_n;;;; [31:28]; 4'h0; RO ;;;;
;;;;;; reg_dc_est_corr_en_force ; [27] ; 1'h0 ; R/W ;;;;
;;;;;; reg_dc_est_corr_en ; [26] ; 1'h0 ; R/W ;;;;
;;;;;; phi_delta_est_done ; [25] ; 1'h0 ; RO ;;;;
;;;;;; phi_delta_est ; [24:12] ; 13'h0 ; RO ;;;;
;;;;;; reg_dc_est_corr_len ; [11:0] ; 12'd1024 ; R/W ;;;;
 0x003c; BB_WDG_0; pclk; reset_n;;;reg_bb_wdg_busy_chk; [31]; 1'h0; R/W ;;;;
;;;;;; reg_bb_wdg_srch_chk; [30] ; 1'h0 ; R/W ;;;;
;;;;;; reg_bb_wdg_max_busy ; [29:16] ; 14'h18 ; R/W ;;;;
;;;;;; reg_bb_wdg_max_srch ; [15:0] ; 16'h100 ; R/W ;;;;
 0x0040; BB_WDG_1; pclk; reset_n;;;reg_bb_wdg_rst_en; [31]; 1'h0; R/W ;;;;
;;;;;; reg_bb_wdg_int_en; [30] ; 1'h0 ; R/W ;;;;
;;;;;; reg_bb_wdg_clr; [29] ; 1'h0 ; WO ;;;;
;;;;;; r_bb_wdg_flag ; [28] ; 1'h0 ; RO ;;;;
;;;;;; r_bb_wdg_status ; [27:0] ; 28'h0 ; RO ;;;;
0x0044;BB_INT_ENA;pclk;reset_n;;;;[31:6];26'h0;RO;;;;
;;;;Not;;tone_est_fft_done_int_ena;[5];1'h0;R/W;;;;
;;;;Not;;tone_est_req_int_ena;[4];1'h0;R/W;;;;
;;;;Not;;tone_est_auto_done_int_ena;[3];1'h0;R/W;;;;
;;;;Not;;bb_timer_int_ena;[2];1'h0;R/W;;;;
;;;;Not;;dc_int_ena;[1];1'h0;R/W;;;;
;;;;Not;;noise_int_ena;[0];1'h0;R/W;;;;
0x0048;BB_INT_RAW;pclk;reset_n;;;;[31:6];26'h0;RO;;;INT_RAW;
;;;;Not;;tone_est_fft_done_int_raw;[5];1'h0;R/W;tone_est_fft_done_int/1'b1;tone_est_fft_done_int_clr/1'b0;;
;;;;Not;;tone_est_req_int_raw;[4];1'h0;R/W;tone_est_req_int/1'b1;tone_est_req_int_clr/1'b0;;
;;;;Not;;tone_est_auto_done_int_raw;[3];1'h0;R/W;tone_est_auto_done_int/1'b1;tone_est_auto_done_int_clr/1'b0;;
;;;;Not;;bb_timer_int_raw;[2];1'h0;R/W;bb_timer_int/1'b1;bb_timer_int_clr/1'b0;;
;;;;Not;;dc_int_raw;[1];1'h0;R/W;bb_dc_int/1'b1;dc_int_clr/1'b0;;
;;;;Not;;noise_int_raw;[0];1'h0;R/W;noise_done_int/1'b1;noise_int_clr/1'b0;;
0x004c;BB_INT_ST;pclk;reset_n;;;;[31:6];26'h0;RO;;;INT_ST;
;;;;Not;;tone_est_fft_done_int_st;[5];1'h0;RO;;;;
;;;;Not;;tone_est_req_int_st;[4];1'h0;RO;;;;
;;;;Not;;tone_est_auto_done_int_st;[3];1'h0;RO;;;;
;;;;Not;;bb_timer_int_st;[2];1'h0;RO;;;;
;;;;Not;;dc_int_st;[1];1'h0;RO;;;;
;;;;Not;;noise_int_st;[0];1'h0;RO;;;;
0x0050;BB_INT_CLR;pclk;reset_n;;;;[31:6];26'h0;WO;;;;
;;;;Not;;tone_est_fft_done_int_clr;[5];1'h0;WO;;;;
;;;;Not;;tone_est_req_int_clr;[4];1'h0;WO;;;;
;;;;Not;;tone_est_auto_done_int_clr;[3];1'h0;WO;;;;
;;;;Not;;bb_timer_int_clr;[2];1'h0;WO;;;;
;;;;Not;;dc_int_clr;[1];1'h0;WO;;;;
;;;;Not;;noise_int_clr;[0];1'h0;WO;;;;
0x0054;BBPD_CTRL;pclk;reset_n;;;;[31:4];28'h0;RO;;;;
