adc_data,i_data,q_data
0x3f502f10,1013,753,
0x20302830,515,643,
0x20302830,515,643,
0x83012f0,131,303,
0x6300000,99,0,
0x1b900000,441,0,
0x1b900000,441,0,
0x34600000,838,0,
0x34600000,838,0,
0x4f300000,1267,0,
0x4f300000,1267,0,
0x69802a60,1688,678,
0x69802a60,1688,678,
0x47c03c70,1148,967,
0x47c03c70,1148,967,
0x22703b30,551,947,
0x22703b30,551,947,
0x2a02790,42,633,
0x0,0,0,
0x6700000,103,0,
0x6700000,103,0,
0x1d300000,467,0,
0x1d300000,467,0,
0x37500000,885,0,
0x73e00000,1854,0,
0x68101670,1665,359,
0x68101670,1665,359,
0x503029d0,1283,669,
0x503029d0,1283,669,
0x32c02ff0,812,767,
0x32c02ff0,812,767,
0x0,0,0,
0x4f00000,79,0,
0x4f00000,79,0,
0x1ad00000,429,0,
0x1ad00000,429,0,
0x33300000,819,0,
0x33300000,819,0,
0x71000670,1808,103,
0x71000670,1808,103,
0x5f102130,1521,531,
0x5f102130,1521,531,
0x42102fb0,1057,763,
0xb70,0,183,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x8f00000,143,0,
0x8f00000,143,0,
0x21d00000,541,0,
0x65f00000,1631,0,
0x6e700000,1767,0,
0x6e700000,1767,0,
0x677013b0,1655,315,
0x677013b0,1655,315,
0x51902d50,1305,725,
0x3801d70,56,471,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x4c700000,1223,0,
0x65800000,1624,0,
0x65800000,1624,0,
0x72900000,1833,0,
0x72900000,1833,0,
0x6ec00dc0,1772,220,
0x6ec00dc0,1772,220,
0x5a302ae0,1443,686,
0x3b02070,59,519,
0x570,0,87,
0x570,0,87,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x41300000,1043,0,
0x54f00000,1359,0,
0x54f00000,1359,0,
0x61200000,1554,0,
0x61200000,1554,0,
0x62200000,1570,0,
0x2d603740,726,884,
0xdf02d70,223,727,
0xdf02d70,223,727,
0x15b0,0,347,
0x15b0,0,347,
0x0,0,0,
0x17500000,373,0,
0x30600000,774,0,
0x30600000,774,0,
0x4af00000,1199,0,
0x4af00000,1199,0,
0x61d00000,1565,0,
0x6cc00000,1740,0,
0x35f03470,863,839,
0x14f02f30,335,755,
0x14f02f30,335,755,
0x1a40,0,420,
0x1a40,0,420,
0x0,0,0,
0x13500000,309,0,
0x2bb00000,699,0,
0x2bb00000,699,0,
0x44d00000,1101,0,
0x44d00000,1101,0,
0x59d00000,1437,0,
0x59d00000,1437,0,
0x64900000,1609,0,
0x38903080,905,776,
0x16f031f0,367,799,
0x16f031f0,367,799,
0x22d0,0,557,
0x22d0,0,557,
0x4e0,0,78,
0x7e00000,126,0,
0x1e200000,482,0,
0x1e200000,482,0,
0x36300000,867,0,
0x36300000,867,0,
0x4e100000,1249,0,
0x5da014f0,1498,335,
0x47a028e0,1146,654,
0x47a028e0,1146,654,
0x2af02fe0,687,766,
0xef027f0,239,639,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x6b00000,107,0,
0x6b00000,107,0,
0x20700000,519,0,
0x20700000,519,0,
0x3d100000,977,0,
0x67000050,1648,5,
0x58b01bb0,1419,443,
0x58b01bb0,1419,443,
0x3f202d30,1010,723,
0x3f202d30,1010,723,
0x1fd03090,509,777,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0xef00000,239,0,
0xef00000,239,0,
0x25b00000,603,0,
0x25b00000,603,0,
0x3c400000,964,0,
0x69d00000,1693,0,
0x5f0019f0,1520,415,
0x5f0019f0,1520,415,
0x47202fa0,1138,762,
0x47202fa0,1138,762,
0x27203650,626,869,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0xeb00000,235,0,
0x5f400000,1524,0,
0x6c500000,1733,0,
0x6c500000,1733,0,
0x6b5007a0,1717,122,
0x6b5007a0,1717,122,
0x5c102270,1473,551,
0x8e01ff0,142,511,
0x590,0,89,
0x590,0,89,
0x0,0,0,
0x0,0,0,
0x4500000,69,0,
0x4500000,69,0,
0x18d00000,397,0,
0x63200000,1586,0,
0x77d00000,1917,0,
0x77d00000,1917,0,
0x7c500190,1989,25,
0x7c500190,1989,25,
0x6e6022f0,1766,559,
0x12702c70,295,711,
0x1370,0,311,
0x1370,0,311,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x4f700000,1271,0,
0x63d00000,1597,0,
0x63d00000,1597,0,
0x6d400000,1748,0,
0x6d400000,1748,0,
0x68b00ef0,1675,239,
0x68b00ef0,1675,239,
0x7101af0,113,431,
0x7101af0,113,431,
0x90,0,9,
0x90,0,9,
0x0,0,0,
0x30600000,774,0,
0x4b600000,1206,0,
0x4b600000,1206,0,
0x64b00000,1611,0,
0x64b00000,1611,0,
0x74600000,1862,0,
0x74600000,1862,0,
0x296034d0,662,845,
