Address;RegName;Clk;Rst;Port;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x0054;MACSLEEP1_CONF;pclk;reset_n;;reg_tsfup1_ena;[31];1'h0;R/W;;;;
;;;;;reg_txbeacon1_ena;[30];1'h0;R/W;;;;
;;;;;reg_wakeup1_ena;[29];1'h0;R/W;;;;
;;;;;reg_tsf1rtcup_ena;[28];1'h0;R/W;;;;
;;;;;reg_tsf1hwup_ena;[27];1'h0;R/W;;;;
;;;;;;[26];1'h0;RO;;;;
;;;;;reg_beacon_target1_valid;[25];1'h0;R/W;;;;
;;;;;;[24:0];25'h0;RO;;;;
0x0058;MACTSF1_ACTIVE;pclk;reset_n;;;[31:2];30'h0;RO;;;;
;;;;;tsf1_active_st;[1];1'b0;RO;;;;
;;;;;reg_tsf1_active_clr;[0];1'h0;WO;;;;
0x005C;MACTSFSW1_LO;pclk;reset_n;;reg_tsfupsw1_lo;[31:0];32'h0;R/W;;;IO=O,hwr_mactsfsw1_lo;
0x0060;MACTSFSW1_HI;pclk;reset_n;;reg_tsfupsw1_hi;[31:0];32'h0;R/W;;;IO=O,hwr_mactsfsw1_hi;
0x0064;MACBEACTAR1_LO;pclk;reset_n;;reg_beacstart_target1_lo;[31:0];32'h0;R/W;;;IO=O,hwr_macbeactar1_lo;
0x0068;MACBEACTAR1_HI;pclk;reset_n;;reg_beacstart_target1_hi;[31:0];32'h0;R/W;;;IO=O,hwr_macbeactar1_hi;
0x006C;MACBEATAR1_LO;pclk;reset_n;;reg_beacon_target1_lo;[31:0];32'h0;R/W;;;;unit:us
0x0070;MACBEATAR1_HI;pclk;reset_n;;reg_beacon_target1_hi;[31:0];32'h0;R/W;;;;unit:us
0x0074;MACBEA_CUR_TAR1;pclk;reset_n;;beacon_cur_tar1;[31:0];32'h0;RO;;;;
0x0078;MACBEAINTER1;pclk;reset_n;;reg_tbtt1_early_time;[31:16];16'h0;R/W;;;;
;;;;;reg_tbtt1;[15:0];16'h64;R/W;;;;unit:TU/default:100TU
0x007C;MACTSF2_TIME_LO;pclk;reset_n;;tsftime2_lo;[31:0];32'h0;RO;;;;
0x0080;MACTSF2_TIME_HI;pclk;reset_n;;tsftime2_hi;[31:0];32'h0;RO;;;;
0x0084;MACSLEEP2_CONF;pclk;reset_n;;reg_tsfup2_ena;[31];1'h0;R/W;;;;
;;;;;reg_txbeacon2_ena;[30];1'h0;R/W;;;;
;;;;;reg_wakeup2_ena;[29];1'h0;R/W;;;;
;;;;;reg_tsf2rtcup_ena;[28];1'h0;R/W;;;;
;;;;;reg_tsf2hwup_ena;[27];1'h0;R/W;;;;
;;;;;;[26];1'h0;RO;;;;
;;;;;reg_beacon_target2_valid;[25];1'h0;R/W;;;;
;;;;;;[24:0];25'h0;RO;;;;
0x0088;MACTSF2_ACTIVE;pclk;reset_n;;;[31:2];30'h0;RO;;;;
;;;;;tsf2_active_st;[1];1'b0;RO;;;;
;;;;;reg_tsf2_active_clr;[0];1'h0;WO;;;;
0x008C;MACTSFSW2_LO;pclk;reset_n;;reg_tsfupsw2_lo;[31:0];32'h0;R/W;;;IO=O,hwr_mactsfsw2_lo;
0x0090;MACTSFSW2_HI;pclk;reset_n;;reg_tsfupsw2_hi;[31:0];32'h0;R/W;;;IO=O,hwr_mactsfsw2_hi;
0x0094;MACBEACTAR2_LO;pclk;reset_n;;reg_beacstart_target2_lo;[31:0];32'h0;R/W;;;IO=O,hwr_macbeactar2_lo;
0x0098;MACBEACTAR2_HI;pclk;reset_n;;reg_beacstart_target2_hi;[31:0];32'h0;R/W;;;IO=O,hwr_macbeactar2_hi;
0x009C;MACBEATAR2_LO;pclk;reset_n;;reg_beacon_target2_lo;[31:0];32'h0;R/W;;;;unit:us
0x00A0;MACBEATAR2_HI;pclk;reset_n;;reg_beacon_target2_hi;[31:0];32'h0;R/W;;;;unit:us
0x00A4;MACBEA_CUR_TAR2;pclk;reset_n;;beacon_cur_tar2;[31:0];32'h0;RO;;;;
0x00A8;MACBEAINTER2;pclk;reset_n;;reg_tbtt2_early_time;[31:16];16'h0;R/W;;;;us
;;;;;reg_tbtt2;[15:0];16'h64;R/W;;;;unit:TU/default:100TU
0x00AC;MACTSF3_TIME_LO;pclk;reset_n;;tsftime3_lo;[31:0];32'h0;RO;;;;
0x00B0;MACTSF3_TIME_HI;pclk;reset_n;;tsftime3_hi;[31:0];32'h0;RO;;;;
0x00B4;MACSLEEP3_CONF;pclk;reset_n;;reg_tsfup3_ena;[31];1'h0;R/W;;;;
;;;;;reg_txbeacon3_ena;[30];1'h0;R/W;;;;
;;;;;reg_wakeup3_ena;[29];1'h0;R/W;;;;
;;;;;reg_tsf3rtcup_ena;[28];1'h0;R/W;;;;
;;;;;reg_tsf3hwup_ena;[27];1'h0;R/W;;;;
;;;;;;[26];1'h0;RO;;;;
;;;;;reg_beacon_target3_valid;[25];1'h0;R/W;;;;
;;;;;;[24:0];25'h0;RO;;;;
0x00B8;MACTSF3_ACTIVE;pclk;reset_n;;;[31:2];30'h0;RO;;;;
;;;;;tsf3_active_st;[1];1'b0;RO;;;;
;;;;;reg_tsf3_active_clr;[0];1'h0;WO;;;;
0x00BC;MACTSFSW3_LO;pclk;reset_n;;reg_tsfupsw3_lo;[31:0];32'h0;R/W;;;IO=O,hwr_mactsfsw3_lo;
0x00C0;MACTSFSW3_HI;pclk;reset_n;;reg_tsfupsw3_hi;[31:0];32'h0;R/W;;;IO=O,hwr_mactsfsw3_hi;
0x00C4;MACBEACTAR3_LO;pclk;reset_n;;reg_beacstart_target3_lo;[31:0];32'h0;R/W;;;IO=O,hwr_macbeactar3_lo;
0x00C8;MACBEACTAR3_HI;pclk;reset_n;;reg_beacstart_target3_hi;[31:0];32'h0;R/W;;;IO=O,hwr_macbeactar3_hi;
0x00CC;MACBEATAR3_LO;pclk;reset_n;;reg_beacon_target3_lo;[31:0];32'h0;R/W;;;;unit:us
0x00D0;MACBEATAR3_HI;pclk;reset_n;;reg_beacon_target3_hi;[31:0];32'h0;R/W;;;;unit:us
0x00D4;MACBEA_CUR_TAR3;pclk;reset_n;;beacon_cur_tar3;[31:0];32'h0;RO;;;;
0x00D8;MACBEAINTER3;pclk;reset_n;;reg_tbtt3_early_time;[31:16];16'h0;R/W;;;;
;;;;;reg_tbtt3;[15:0];16'h64;R/W;;;;unit:TU/default:100TU
0x00DC;MACRTC_CALISW;pclk;reset_n;;;[31];1'h0;RO;;;;
;;;;;;[30:18];13'h0;RO;;;;
;;;;;reg_calisw_value;[17:0];18'h0;R/W;;;;
0x00E0;MACTSF0TIMER_ENA;pclk;reset_n;;reg_tsf0timer_ena;[31];1'h0;R/W;tsf0_reach_int/1'b0;;;
;;;;;reg_tsf0timer_wakeup_ena;[30];1'h0;R/W;;;;
;;;;;;[29:16];14'h0;RO;;;;
;;;;;;[15:0];16'h0;RO;;;;
0x00E4;MACTSF0_TIMER_LO;pclk;reset_n;;reg_tsf0timer_lo;[31:0];32'h0;R/W;;;;
0x00E8;MACTSF0_TIMER_HI;pclk;reset_n;;reg_tsf0timer_hi;[31:0];32'h0;R/W;;;;
0x00EC;MACTSF1TIMER_ENA;pclk;reset_n;;reg_tsf1timer_ena;[31];1'h0;R/W;tsf1_reach_int/1'b0;;;
;;;;;reg_tsf1timer_wakeup_ena;[30];1'h0;R/W;;;;
;;;;;;[29:16];14'h0;RO;;;;
;;;;;;[15:0];16'h0;RO;;;;
0x00F0;MACTSF1_TIMER_LO;pclk;reset_n;;reg_tsf1timer_lo;[31:0];32'h0;R/W;;;;
0x00F4;MACTSF1_TIMER_HI;pclk;reset_n;;reg_tsf1timer_hi;[31:0];32'h0;R/W;;;;
0x00F8;MACTSF2TIMER_ENA;pclk;reset_n;;reg_tsf2timer_ena;[31];1'h0;R/W;tsf2_reach_int/1'b0;;;
;;;;;reg_tsf2timer_wakeup_ena;[30];1'h0;R/W;;;;
;;;;;;[29:16];14'h0;RO;;;;
;;;;;;[15:0];16'h0;RO;;;;
0x00FC;MACTSF2_TIMER_LO;pclk;reset_n;;reg_tsf2timer_lo;[31:0];32'h0;R/W;;;;
0x0100;MACTSF2_TIMER_HI;pclk;reset_n;;reg_tsf2timer_hi;[31:0];32'h0;R/W;;;;
0x0104;MACTSF3TIMER_ENA;pclk;reset_n;;reg_tsf3timer_ena;[31];1'h0;R/W;tsf3_reach_int/1'b0;;;
;;;;;reg_tsf3timer_wakeup_ena;[30];1'h0;R/W;;;;
;;;;;;[29:16];14'h0;RO;;;;
;;;;;;[15:0];16'h0;RO;;;;
0x0108;MACTSF3_TIMER_LO;pclk;reset_n;;reg_tsf3timer_lo;[31:0];32'h0;R/W;;;;
0x010C;MACTSF3_TIMER_HI;pclk;reset_n;;reg_tsf3timer_hi;[31:0];32'h0;R/W;;;;
0x0110;MACRND;pclk;reset_n;;mac_rnd_data;[31:0];32'h0;RO;;;;
0x0114;MACRXBEA_TO;pclk;reset_n;;;[31:16];16'h0;RO;;;;
;;;;;reg_rxbeacontimout;[15:0];16'h7ff;R/W;;;;
0x0118;MACRWBT_COEX_CONF;pclk;reset_n;;reg_rw_nbt_prio_ble;[31:30];2'h0;R/W;;;;
;;;;;;[29:28];2'h0;R/W;;;;
;;;;;reg_rw_bt_prio_sel;[27:24];4'h0;R/W;;;;
;;;;;;[23:20];4'h0;R/W;;;;
;;;;;reg_freq_hop_timer;[19:8];12'd50;R/W;;;;
;;;;;;[7:4];4'h0;RO;;;;
;;;;;reg_wlanat_inv;[3];1'h0;R/W;;;;
;;;;;;[2];1'h0;RO;;;;
;;;;;reg_freq_hop_busy_ena;[1];1'h1;R/W;;;;
;;;;;reg_rw_bt_coex_en;[0];1'h0;R/W;;;;
0x011C;MACTSF_PTI_CLR;pclk;reset_n;;;[31:4];28'h0;RO;;;;
;;;;;reg_wlan_rxbeacon3_mt_clr;[3];1'b0;WO;;;;
;;;;;reg_wlan_rxbeacon2_mt_clr;[2];1'b0;WO;;;;
;;;;;reg_wlan_rxbeacon1_mt_clr;[1];1'b0;WO;;;;
;;;;;reg_wlan_rxbeacon0_mt_clr;[0];1'b0;WO;;;;
0x0120;MACTSF_PTI_MT_CNT;pclk;reset_n;;reg_wlan_rxbeacon3_mt_cnt;[31:24];8'h0;R/W;;;;
;;;;;reg_wlan_rxbeacon2_mt_cnt;[23:16];8'h0;R/W;;;;
;;;;;reg_wlan_rxbeacon1_mt_cnt;[15:8];8'h0;R/W;;;;
;;;;;reg_wlan_rxbeacon0_mt_cnt;[7:0];8'h0;R/W;;;;
0x0124;MACTSF_PTI_MT_CONF;pclk;reset_n;;;[31:16];16'h0;RO;;;;
;;;;;reg_wlan_rxbeacon3_mt_pti;[15:12];4'h0;R/W;;;;
;;;;;reg_wlan_rxbeacon2_mt_pti;[11:8];4'h0;R/W;;;;
;;;;;reg_wlan_rxbeacon1_mt_pti;[7:4];4'h0;R/W;;;;
;;;;;reg_wlan_rxbeacon0_mt_pti;[3:0];4'h0;R/W;;;;
0x0128;MACTSF_PTI_CONF;pclk;reset_n;;;[31:28];4'h0;RO;;;;
;;;;;reg_wlan_rxbeacon3_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_wlan_rxbeacon2_pti;[23:20];4'h0;R/W;;;;
;;;;;reg_wlan_rxbeacon1_pti;[19:16];4'h0;R/W;;;;
;;;;;reg_wlan_rxbeacon0_pti;[15:12];4'h0;R/W;;;;
;;;;;reg_wlan_default_pti;[11:8];4'h0;R/W;;;;
;;;;;;[7:5];3'h0;RO;;;;
;;;;;reg_wlan_default_active;[4];1'b0;R/W;;;;
;;;;;extern_get;[3];1'h0;RO;;;;
;;;;;wlan_get;[2];1'h0;RO;;;;
;;;;;wlan_rwbt_ant_sel;[1];1'h0;RO;;;;
;;;;;rw_bt_get;[0];1'h0;RO;;;;
0x012C;MACRWBT_COEX_WAIT0;pclk;reset_n;;reg_wlan_ant_sel_tail_wait;[31:16];16'h0;R/W;;;;
;;;;;;[15:0];16'h0;RO;;;;
0x0130;MACRWBT_COEX_WAIT1;pclk;reset_n;;reg_wlan_ant_sel_head_wait;[31:16];16'h0;R/W;;;;
;;;;;reg_mac_refuse_time;[15:0];16'h0;R/W;;;;
0x0134;MACRWBT_COEX_DYNAMIC_PRIORITY;pclk;reset_n;;reg_bt_dynamic_prio_en;[31];1'h0;R/W;;;;
;;;;;reg_bt_dynamic_prio;[30:27];4'h0;R/W;;;;
;;;;;reg_wlan_dynamic_prio_en;[26];1'h0;R/W;;;;
;;;;;reg_wlan_dynamic_prio;[25:22];4'h0;R/W;;;;
;;;;;;[21:0];22'h0;RO;;;;
0x0138;MACRWBT_COEX_GPIO_SEL;pclk;reset_n;;reg_freq_hop_busy;[31:30];2'h0;R/W;;;;
;;;;;;[29:9];21'h0;RO;;;;
;;;;;reg_gpio_bt_priority_sel;[8:6];3'h0;R/W;;;;
;;;;;reg_gpio_bt_active_sel;[5:3];3'h0;R/W;;;;
;;;;;reg_gpio_wlan_active_sel;[2:0];3'h0;R/W;;;;
0x013C;MACRWBT_COEX_TIMER0_CONF0;pclk;reset_n;;reg_coex_timer0_ena;[31];1'h0;R/W;coex_timer0_end_int/1'h0;;;
;;;;;reg_coex_timer0_src;[30];1'h0;R/W;;;;
;;;;;;[29];1'h0;RO;;;;
;;;;;reg_coex_timer0_fh;[28];1'h0;R/W;;;;
;;;;;reg_coex_timer0_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_coex_timer0_len;[23:0];24'h0;R/W;;;;
0x0140;MACRWBT_COEX_TIMER0_CONF1;pclk;reset_n;;reg_coex_timer0_start;[31:0];32'h0;R/W;;;;
0x0144;MACRWBT_COEX_TIMER1_CONF0;pclk;reset_n;;reg_coex_timer1_ena;[31];1'h0;R/W;coex_timer1_end_int/1'h0;;;
;;;;;reg_coex_timer1_src;[30];1'h0;R/W;;;;
;;;;;;[29];1'h0;RO;;;;
;;;;;reg_coex_timer1_fh;[28];1'h0;R/W;;;;
;;;;;reg_coex_timer1_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_coex_timer1_len;[23:0];24'h0;R/W;;;;
0x0148;MACRWBT_COEX_TIMER1_CONF1;pclk;reset_n;;reg_coex_timer1_start;[31:0];32'h0;R/W;;;;
0x014C;MACRWBT_COEX_TIMER2_CONF0;pclk;reset_n;;reg_coex_timer2_ena;[31];1'h0;R/W;coex_timer2_end_int/1'h0;;;
;;;;;reg_coex_timer2_src;[30];1'h0;R/W;;;;
;;;;;;[29];1'h0;RO;;;;
;;;;;reg_coex_timer2_fh;[28];1'h0;R/W;;;;
;;;;;reg_coex_timer2_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_coex_timer2_len;[23:0];24'h0;R/W;;;;
0x0150;MACRWBT_COEX_TIMER2_CONF1;pclk;reset_n;;reg_coex_timer2_start;[31:0];32'h0;R/W;;;;
0x0154;MACRWBT_COEX_TIMER3_CONF0;pclk;reset_n;;reg_coex_timer3_ena;[31];1'h0;R/W;coex_timer3_end_int/1'h0;;;
;;;;;reg_coex_timer3_src;[30];1'h0;R/W;;;;
;;;;;;[29];1'h0;RO;;;;
;;;;;reg_coex_timer3_fh;[28];1'h0;R/W;;;;
;;;;;reg_coex_timer3_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_coex_timer3_len;[23:0];24'h0;R/W;;;;
0x0158;MACRWBT_COEX_TIMER3_CONF1;pclk;reset_n;;reg_coex_timer3_start;[31:0];32'h0;R/W;;;;
0x015C;MACRWBT_COEX_TIMER4_CONF0;pclk;reset_n;;reg_coex_timer4_ena;[31];1'h0;R/W;coex_timer4_end_int/1'h0;;;
;;;;;reg_coex_timer4_src;[30];1'h0;R/W;;;;
;;;;;;[29];1'h0;RO;;;;
;;;;;reg_coex_timer4_fh;[28];1'h0;R/W;;;;
;;;;;reg_coex_timer4_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_coex_timer4_len;[23:0];24'h0;R/W;;;;
0x0160;MACRWBT_COEX_TIMER4_CONF1;pclk;reset_n;;reg_coex_timer4_start;[31:0];32'h0;R/W;;;;
0x0164;MACRWBT_COEX_TIMER5_CONF0;pclk;reset_n;;reg_coex_timer5_ena;[31];1'h0;R/W;coex_timer5_end_int/1'h0;;;
;;;;;reg_coex_timer5_src;[30];1'h0;R/W;;;;
;;;;;;[29];1'h0;RO;;;;
;;;;;reg_coex_timer5_fh;[28];1'h0;R/W;;;;
;;;;;reg_coex_timer5_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_coex_timer5_len;[23:0];24'h0;R/W;;;;
0x0168;MACRWBT_COEX_TIMER5_CONF1;pclk;reset_n;;reg_coex_timer5_start;[31:0];32'h0;R/W;;;;
0x016C;MACRWBT_COEX_TIMER6_CONF0;pclk;reset_n;;reg_coex_timer6_ena;[31];1'h0;R/W;coex_timer6_end_int/1'h0;;;
;;;;;reg_coex_timer6_src;[30];1'h0;R/W;;;;
;;;;;;[29];1'h0;RO;;;;
;;;;;reg_coex_timer6_fh;[28];1'h0;R/W;;;;
;;;;;reg_coex_timer6_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_coex_timer6_len;[23:0];24'h0;R/W;;;;
0x0170;MACRWBT_COEX_TIMER6_CONF1;pclk;reset_n;;reg_coex_timer6_start;[31:0];32'h0;R/W;;;;
0x0174;MACRWBT_COEX_TIMER7_CONF0;pclk;reset_n;;reg_coex_timer7_ena;[31];1'h0;R/W;coex_timer7_end_int/1'h0;;;
;;;;;reg_coex_timer7_src;[30];1'h0;R/W;;;;
;;;;;;[29];1'h0;RO;;;;
;;;;;reg_coex_timer7_fh;[28];1'h0;R/W;;;;
;;;;;reg_coex_timer7_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_coex_timer7_len;[23:0];24'h0;R/W;;;;
0x0178;MACRWBT_COEX_TIMER7_CONF1;pclk;reset_n;;reg_coex_timer7_start;[31:0];32'h0;R/W;;;;
0x017C;MACRWBT_COEX_TIMER8_CONF0;pclk;reset_n;;reg_coex_timer8_ena;[31];1'h0;R/W;coex_timer8_end_int/1'h0;;;
;;;;;reg_coex_timer8_src;[30];1'h0;R/W;;;;
;;;;;;[29];1'h0;RO;;;;
;;;;;reg_coex_timer8_fh;[28];1'h0;R/W;;;;
;;;;;reg_coex_timer8_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_coex_timer8_len;[23:0];24'h0;R/W;;;;
0x0180;MACRWBT_COEX_TIMER8_CONF1;pclk;reset_n;;reg_coex_timer8_start;[31:0];32'h0;R/W;;;;
0x0184;MACRWBT_COEX_TIMER9_CONF0;pclk;reset_n;;reg_coex_timer9_ena;[31];1'h0;R/W;coex_timer9_end_int/1'h0;;;
;;;;;reg_coex_timer9_src;[30];1'h0;R/W;;;;
;;;;;;[29];1'h0;RO;;;;
;;;;;reg_coex_timer9_fh;[28];1'h0;R/W;;;;
;;;;;reg_coex_timer9_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_coex_timer9_len;[23:0];24'h0;R/W;;;;
0x0188;MACRWBT_COEX_TIMER9_CONF1;pclk;reset_n;;reg_coex_timer9_start;[31:0];32'h0;R/W;;;;
0x018C;MACRWBT_COEX_TIMER10_CONF0;pclk;reset_n;;reg_coex_timer10_ena;[31];1'h0;R/W;coex_timer10_end_int/1'h0;;;
;;;;;reg_coex_timer10_src;[30];1'h0;R/W;;;;
;;;;;;[29];1'h0;RO;;;;
;;;;;reg_coex_timer10_fh;[28];1'h0;R/W;;;;
;;;;;reg_coex_timer10_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_coex_timer10_len;[23:0];24'h0;R/W;;;;
0x0190;MACRWBT_COEX_TIMER10_CONF1;pclk;reset_n;;reg_coex_timer10_start;[31:0];32'h0;R/W;;;;
0x0194;MACRWBT_COEX_TIMER11_CONF0;pclk;reset_n;;reg_coex_timer11_ena;[31];1'h0;R/W;coex_timer11_end_int/1'h0;;;
;;;;;reg_coex_timer11_src;[30];1'h0;R/W;;;;
;;;;;;[29];1'h0;RO;;;;
;;;;;reg_coex_timer11_fh;[28];1'h0;R/W;;;;
;;;;;reg_coex_timer11_pti;[27:24];4'h0;R/W;;;;
;;;;;reg_coex_timer11_len;[23:0];24'h0;R/W;;;;
0x0198;MACRWBT_COEX_TIMER11_CONF1;pclk;reset_n;;reg_coex_timer11_start;[31:0];32'h0;R/W;;;;
0x019C;MACRWBT_COEX_TIMER_END_ST;pclk;reset_n;;;[31:12];20'h0;RO;;;;
;;;;Not;coex_timer11_end_st;[11];1'h0;R/W;coex_timer11_end_int/1'h1;reg_coex_timer11_end_clr/1'h0;;
;;;;Not;coex_timer10_end_st;[10];1'h0;R/W;coex_timer10_end_int/1'h1;reg_coex_timer10_end_clr/1'h0;;
;;;;Not;coex_timer9_end_st;[9];1'h0;R/W;coex_timer9_end_int/1'h1;reg_coex_timer9_end_clr/1'h0;;
;;;;Not;coex_timer8_end_st;[8];1'h0;R/W;coex_timer8_end_int/1'h1;reg_coex_timer8_end_clr/1'h0;;
;;;;Not;coex_timer7_end_st;[7];1'h0;R/W;coex_timer7_end_int/1'h1;reg_coex_timer7_end_clr/1'h0;;
;;;;Not;coex_timer6_end_st;[6];1'h0;R/W;coex_timer6_end_int/1'h1;reg_coex_timer6_end_clr/1'h0;;
;;;;Not;coex_timer5_end_st;[5];1'h0;R/W;coex_timer5_end_int/1'h1;reg_coex_timer5_end_clr/1'h0;;
;;;;Not;coex_timer4_end_st;[4];1'h0;R/W;coex_timer4_end_int/1'h1;reg_coex_timer4_end_clr/1'h0;;
;;;;Not;coex_timer3_end_st;[3];1'h0;R/W;coex_timer3_end_int/1'h1;reg_coex_timer3_end_clr/1'h0;;
;;;;Not;coex_timer2_end_st;[2];1'h0;R/W;coex_timer2_end_int/1'h1;reg_coex_timer2_end_clr/1'h0;;
;;;;Not;coex_timer1_end_st;[1];1'h0;R/W;coex_timer1_end_int/1'h1;reg_coex_timer1_end_clr/1'h0;;
;;;;Not;coex_timer0_end_st;[0];1'h0;R/W;coex_timer0_end_int/1'h1;reg_coex_timer0_end_clr/1'h0;;
0x01A0;MACRWBT_COEX_TIMER_END_CLR;pclk;reset_n;;;[31:12];20'h0;RO;;;;
;;;;Not;reg_coex_timer11_end_clr;[11];1'h0;WO;;;;
;;;;Not;reg_coex_timer10_end_clr;[10];1'h0;WO;;;;
;;;;Not;reg_coex_timer9_end_clr;[9];1'h0;WO;;;;
;;;;Not;reg_coex_timer8_end_clr;[8];1'h0;WO;;;;
;;;;Not;reg_coex_timer7_end_clr;[7];1'h0;WO;;;;
;;;;Not;reg_coex_timer6_end_clr;[6];1'h0;WO;;;;
;;;;Not;reg_coex_timer5_end_clr;[5];1'h0;WO;;;;
;;;;Not;reg_coex_timer4_end_clr;[4];1'h0;WO;;;;
;;;;Not;reg_coex_timer3_end_clr;[3];1'h0;WO;;;;
;;;;Not;reg_coex_timer2_end_clr;[2];1'h0;WO;;;;
;;;;Not;reg_coex_timer1_end_clr;[1];1'h0;WO;;;;
;;;;Not;reg_coex_timer0_end_clr;[0];1'h0;WO;;;;
0x01A4;INT_ENA_MACPWR;pclk;reset_n;;;[31:14];18'h0;RO;;;;
;;;;Not;mac_backup_dma_done_int_ena;[13];1'h0;R/W;;;;
;;;;Not;rxbeacon3_maintain_reach_int_ena;[12];1'h0;R/W;;;;
;;;;Not;rxbeacon2_maintain_reach_int_ena;[11];1'h0;R/W;;;;
