suffix,"_bbtop"
address,"7'b1100111"

0,1,0,"filter_dtest[1:0]","w","b00",
0,2,2,"ent_filter_i","w","b0",
0,3,3,"ent_filter_q","w","b0",
0,4,4,"ent_filter_bias_i","w","b0",
0,5,5,"ent_filter_bias_q","w","b0",
0,6,6,"enlb","w","b0",
,,,,,,
1,3,0,"tmx_lbd1[3:0]","w","b0000",
1,7,4,"tmx_lbd2[3:0]","w","b0000",
,,,,,,
2,1,0,"tmx_dsw_bias[1:0]","w","b10",
2,3,2,"tmx_dv2i_bias[1:0]","w","b10",
2,4,4,"dac_ck_ph_inv","w","b0",
2,5,5,"filter_xpd_lat","w","b1",
2,7,6,"nc1[1:0]","w","b00",
,,,,,,
3,2,0,"filter_cmplx_ctrl[2:0]","w","b100",
3,3,3,"encmplx_btrx","w","b1",
3,4,4,"encmplx_bttx","w","b0",
3,7,5,"nc2[2:0]","w","b111",
,,,,,,
4,6,0,"filter_wifirx0_dcap_lq[6:0]","w","b1011010",
,,,,,,
5,6,0,"filter_wifirx0_dcap_hq[6:0]","w","b1011010",
,,,,,,
6,6,0,"filter_wifirx1_dcap_lq[6:0]","w","b1011010",
,,,,,,
7,6,0,"filter_wifirx1_dcap_hq[6:0]","w","b1011010",
,,,,,,
8,6,0,"filter_wifirx2_dcap_lq[6:0]","w","b1011010",
,,,,,,
9,6,0,"filter_wifirx2_dcap_hq[6:0]","w","b1011010",
,,,,,,
10,6,0,"filter_wifirx3_dcap_lq[6:0]","w","b1011010",
,,,,,,
11,6,0,"filter_wifirx3_dcap_hq[6:0]","w","b1011010",
,,,,,,
12,6,0,"filter_wifitx0_dcap_lq[6:0]","w","b1011010",
,,,,,,
13,6,0,"filter_wifitx0_dcap_hq[6:0]","w","b1011010",
,,,,,,
14,6,0,"filter_wifitx1_dcap_lq[6:0]","w","b1011010",
,,,,,,
15,6,0,"filter_wifitx1_dcap_hq[6:0]","w","b1011010",
,,,,,,
16,6,0,"filter_wifitx2_dcap_lq[6:0]","w","b1011010",
,,,,,,
17,6,0,"filter_wifitx2_dcap_hq[6:0]","w","b1011010",
,,,,,,
18,6,0,"filter_wifitx3_dcap_lq[6:0]","w","b1011010",
,,,,,,
19,6,0,"filter_wifitx3_dcap_hq[6:0]","w","b1011010",
,,,,,,
20,6,0,"filter_btrx_dcap_lq[6:0]","w","b1100010",
,,,,,,
21,6,0,"filter_btrx_dcap_hq[6:0]","w","b1100010",
,,,,,,
22,6,0,"filter_bttx_dcap_lq[6:0]","w","b1100010",
,,,,,,
23,6,0,"filter_bttx_dcap_hq[6:0]","w","b1100010",
,,,,,,
24,0,0,"filter_wifirx0_dgdc","w","b0",
24,2,1,"filter_wifirx0_input_ld[1:0]","w","b00",
24,4,3,"filter_wifirx0_bstb[1:0]","w","b10",
24,7,5,"filter_wifirx0_dedge[2:0]","w","b011",
,,,,,,
25,0,0,"filter_wifirx1_dgdc","w","b0",
25,2,1,"filter_wifirx1_input_ld[1:0]","w","b00",
25,4,3,"filter_wifirx1_bstb[1:0]","w","b10",
25,7,5,"filter_wifirx1_dedge[2:0]","w","b011",
,,,,,,
26,0,0,"filter_wifirx2_dgdc","w","b0",
26,2,1,"filter_wifirx2_input_ld[1:0]","w","b00",
26,4,3,"filter_wifirx2_bstb[1:0]","w","b10",
26,7,5,"filter_wifirx2_dedge[2:0]","w","b011",
,,,,,,
27,0,0,"filter_wifirx3_dgdc","w","b0",
27,2,1,"filter_wifirx3_input_ld[1:0]","w","b00",
27,4,3,"filter_wifirx3_bstb[1:0]","w","b10",
27,7,5,"filter_wifirx3_dedge[2:0]","w","b011",
,,,,,,
28,0,0,"filter_wifitx0_dgdc","w","b0",
28,2,1,"filter_wifitx0_input_ld[1:0]","w","b00",
28,4,3,"filter_wifitx0_bstb[1:0]","w","b10",
28,7,5,"filter_wifitx0_dedge[2:0]","w","b011",
,,,,,,
29,0,0,"filter_wifitx1_dgdc","w","b0",
29,2,1,"filter_wifitx1_input_ld[1:0]","w","b00",
29,4,3,"filter_wifitx1_bstb[1:0]","w","b10",
29,7,5,"filter_wifitx1_dedge[2:0]","w","b011",
,,,,,,
30,0,0,"filter_wifitx2_dgdc","w","b0",
30,2,1,"filter_wifitx2_input_ld[1:0]","w","b00",
30,4,3,"filter_wifitx2_bstb[1:0]","w","b10",
30,7,5,"filter_wifitx2_dedge[2:0]","w","b011",
,,,,,,
31,0,0,"filter_wifitx3_dgdc","w","b0",
31,2,1,"filter_wifitx3_input_ld[1:0]","w","b00",
31,4,3,"filter_wifitx3_bstb[1:0]","w","b10",
31,7,5,"filter_wifitx3_dedge[2:0]","w","b011",
,,,,,,
32,0,0,"filter_btrx_dgdc","w","b0",
32,2,1,"filter_btrx_input_ld[1:0]","w","b00",
32,4,3,"filter_btrx_bstb[1:0]","w","b10",
32,7,5,"filter_btrx_dedge[2:0]","w","b000",
,,,,,,
33,0,0,"filter_bttx_dgdc","w","b0",
33,2,1,"filter_bttx_input_ld[1:0]","w","b00",
33,4,3,"filter_bttx_bstb[1:0]","w","b10",
33,7,5,"filter_bttx_dedge[2:0]","w","b000",
,,,,,,
34,1,0,"filter_wifirx0_dcc[1:0]","w","b10",
34,3,2,"filter_wifirx1_dcc[1:0]","w","b10",
34,5,4,"filter_wifirx2_dcc[1:0]","w","b10",
34,7,6,"filter_wifirx3_dcc[1:0]","w","b10",
,,,,,,
35,1,0,"filter_wifitx0_dcc[1:0]","w","b10",
35,3,2,"filter_wifitx1_dcc[1:0]","w","b10",
