Address;RegName;Clk;Rst;Port;Signal;BitPos;Default;SW(R/W);HW(W);MCU(W);MISC;Description
0x007C;MACBEACTAR1_HI;pclk;reset_n;;reg_beacstart_target1_hi;[31:0];32'h0;R/W;;;IO=O,hwr_macbeactar1_hi;
0x0080;MACBEATAR1_LO;pclk;reset_n;;reg_beacon_target1_lo;[31:0];32'h0;R/W;;;;unit:us
0x0084;MACBEATAR1_HI;pclk;reset_n;;reg_beacon_target1_hi;[31:0];32'h0;R/W;;;;unit:us
0x0088;MACBEAINTER1;pclk;reset_n;;reg_tbtt1_early_time;[31:16];16'h0;R/W;;;;
;;;;;reg_tbtt1;[15:0];16'h64;R/W;;;;unit:TU/default:100TU
0x008C;MACLISINTER1;pclk;reset_n;;reg_listen_interval1_tu;[31:0];32'h12C;R/W;;;;unit:TU/default:3*100TU
0x0090;MACTSF2_TIME_LO;pclk;reset_n;;tsftime2_lo;[31:0];32'h0;RO;;;;
0x0094;MACTSF2_TIME_HI;pclk;reset_n;;tsftime2_hi;[31:0];32'h0;RO;;;;
0x0098;MACSLEEP2_CONF;pclk;reset_n;;reg_tsfup2_ena;[31];1'h0;R/W;;;;
;;;;;reg_txbeacon2_ena;[30];1'h0;R/W;;;;
;;;;;reg_wakeup2_ena;[29];1'h0;R/W;;;;
;;;;;reg_tsf2rtcup_ena;[28];1'h0;R/W;;;;
;;;;;reg_tsf2hwup_ena;[27];1'h0;R/W;;;;
;;;;;reg_wakeup_target2_valid;[26];1'h0;R/W;;;;
;;;;;reg_beacon_target2_valid;[25];1'h0;R/W;;;;
;;;;;reg_beacon_target2_upbytsf;[24];1'h0;R/W;;;;
;;;;;;[23:0];24'h0;RO;;;;
0x009C;MACTSFSW2_LO;pclk;reset_n;;reg_tsfupsw2_lo;[31:0];32'h0;R/W;;;IO=O,hwr_mactsfsw2_lo;
0x00A0;MACTSFSW2_HI;pclk;reset_n;;reg_tsfupsw2_hi;[31:0];32'h0;R/W;;;IO=O,hwr_mactsfsw2_hi;
0x00A4;MACTBTTTAR2_LO;pclk;reset_n;;reg_tbttstart_target2_lo;[31:0];32'h0;R/W;;;IO=O,hwr_mactbtttar2_lo;
