adc_data,i_data,q_data
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x1f300000,499,0,
0x1f300000,499,0,
0x0,0,0,
0x0,0,0,
0x1a300000,419,0,
0x1a300000,419,0,
0x5e300000,1507,0,
0x5e300000,1507,0,
0xa6c00000L,2668.00,0.00,
0xa6c00000L,2668.00,0.00,
0x69f00000,1695,0,
0x69f00000,1695,0,
0xaaa00000L,2730.00,0.00,
0xaaa00000L,2730.00,0.00,
0xe2200000L,3618.00,0.00,
0xe2200000L,3618.00,0.00,
0xb9c00000L,2972.00,0.00,
0xec600000L,3782.00,0.00,
0xec600000L,3782.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xf4c00000L,3916.00,0.00,
0xf4c00000L,3916.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xe2a03070L,3626.00,775.00,
0xe2a03070L,3626.00,775.00,
0xfff00030L,4095.00,3.00,
0xfff00030L,4095.00,3.00,
0xdd203130L,3538.00,787.00,
0xdd203130L,3538.00,787.00,
0x9d704880L,2519.00,1160.00,
0x9d704880L,2519.00,1160.00,
0x57303fb0,1395,1019,
0x57303fb0,1395,1019,
0x86704920L,2151.00,1170.00,
0x86704920L,2151.00,1170.00,
0x43b03480,1083,840,
0x43b03480,1083,840,
0x127009e0,295,158,
0x127009e0,295,158,
0x30f03370,783,823,
0x30f03370,783,823,
0x3e0,0,62,
0x3e0,0,62,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x2c400000,708,0,
0x5f00000,95,0,
0x5f00000,95,0,
0x43f00000,1087,0,
0x43f00000,1087,0,
0x8b100000L,2225.00,0.00,
0x8b100000L,2225.00,0.00,
0xce100000L,3297.00,0.00,
0xce100000L,3297.00,0.00,
0xa5a00000L,2650.00,0.00,
0xa5a00000L,2650.00,0.00,
0xdac00000L,3500.00,0.00,
0xdac00000L,3500.00,0.00,
0xfc000000L,4032.00,0.00,
0xfc000000L,4032.00,0.00,
0xeba00000L,3770.00,0.00,
0xeba00000L,3770.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfff014b0L,4095.00,331.00,
0xfff014b0L,4095.00,331.00,
0xfff00000L,4095.00,0.00,
0xfff00000L,4095.00,0.00,
0xfa202070L,4002.00,519.00,
0xfa202070L,4002.00,519.00,
0xc3c048b0L,3132.00,1163.00,
0xc3c048b0L,3132.00,1163.00,
0xed902030L,3801.00,515.00,
0xed902030L,3801.00,515.00,
0xb6803ff0L,2920.00,1023.00,
0xb6803ff0L,2920.00,1023.00,
0x73104030,1841,1027,
0x37b02500,891,592,
0x37b02500,891,592,
0x65f044d0,1631,1101,
0x65f044d0,1631,1101,
0x285022b0,645,555,
0x285022b0,645,555,
0x1300000,19,0,
0x1300000,19,0,
0x1e201bf0,482,447,
0x1e201bf0,482,447,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
0x0,0,0,
