adc_data,i_data,q_data
0x7c007c00,1984,1984,
0x30002000,768,512,
0x10000000,256,0,
0x0,0,0,
0x850084f0L,-1968.00,-1969.00,
0x850084f0L,-1968.00,-1969.00,
0x850084d0L,-1968.00,-1971.00,
0x850084d0L,-1968.00,-1971.00,
0x84e08500L,-1970.00,-1968.00,
0x84e08500L,-1970.00,-1968.00,
0x84e079c0L,-1970.00,1948.00,
0x84407c00L,-1980.00,1984.00,
0x84407c00L,-1980.00,1984.00,
0x84407d10L,-1980.00,2001.00,
0x84407d10L,-1980.00,2001.00,
0x84607d30L,-1978.00,2003.00,
0x79c07ed0,1948,2029,
0x7f207da0,2034,2010,
0x7f207da0,2034,2010,
0x84508120L,-1979.00,-2030.00,
0x84508120L,-1979.00,-2030.00,
0x87508750L,-1931.00,-1931.00,
0x87508750L,-1931.00,-1931.00,
0x86408e00L,-1948.00,-1824.00,
0x7d3092d0,2003,-1747,
0x7d309390,2003,-1735,
0x7d309390,2003,-1735,
0x7c809480,1992,-1720,
0x7c809480,1992,-1720,
0x7be09440,1982,-1724,
0x7be09440,1982,-1724,
0x7c209420,1986,-1726,
0x7c109400,1985,-1728,
0x7c109400,1985,-1728,
0x7c009420,1984,-1726,
0x7c809470,1992,-1721,
0x7c909480,1993,-1720,
0x7c909480,1993,-1720,
0x7c709490,1991,-1719,
0x7c709490,1991,-1719,
0x7c409470,1988,-1721,
0x7c409470,1988,-1721,
0x7c709420,1991,-1726,
0x7c709420,1991,-1726,
0x7c509440,1989,-1724,
0x7c509440,1989,-1724,
0x7c309440,1987,-1724,
0x7c309440,1987,-1724,
0x7c109440,1985,-1724,
0x7bb09440,1979,-1724,
0x7c209400,1986,-1728,
0x7c209400,1986,-1728,
0x7c409410,1988,-1727,
0x7c409410,1988,-1727,
0x7c609400,1990,-1728,
0x84408be0L,-1980.00,-1858.00,
0x83b08b90L,-1989.00,-1863.00,
0x83b08b90L,-1989.00,-1863.00,
0x83108ab0L,-1999.00,-1877.00,
0x83108ab0L,-1999.00,-1877.00,
0x83008990L,-2000.00,-1895.00,
0x83008990L,-2000.00,-1895.00,
0x84e085a0L,-1970.00,-1958.00,
0x84d08560L,-1971.00,-1962.00,
0x84d08560L,-1971.00,-1962.00,
0x85008530L,-1968.00,-1965.00,
0x85008530L,-1968.00,-1965.00,
0x84e08530L,-1970.00,-1965.00,
0x84a08540L,-1974.00,-1964.00,
0x84908540L,-1975.00,-1964.00,
0x84908540L,-1975.00,-1964.00,
0x84d08540L,-1971.00,-1964.00,
0x84d08540L,-1971.00,-1964.00,
0x84d08510L,-1971.00,-1967.00,
0x85008510L,-1968.00,-1967.00,
0x84d08510L,-1971.00,-1967.00,
0x84d08510L,-1971.00,-1967.00,
0x85008510L,-1968.00,-1967.00,
0x85008510L,-1968.00,-1967.00,
0x85008540L,-1968.00,-1964.00,
0x84c08510L,-1972.00,-1967.00,
0x84e084e0L,-1970.00,-1970.00,
0x84e084e0L,-1970.00,-1970.00,
0x84d08540L,-1971.00,-1964.00,
0x84d08540L,-1971.00,-1964.00,
0x851084f0L,-1967.00,-1969.00,
0x851084f0L,-1967.00,-1969.00,
0x84e08500L,-1970.00,-1968.00,
0x85008510L,-1968.00,-1967.00,
0x84f08530L,-1969.00,-1965.00,
0x84f08530L,-1969.00,-1965.00,
0x84e08510L,-1970.00,-1967.00,
0x84e08510L,-1970.00,-1967.00,
0x84f08530L,-1969.00,-1965.00,
0x84f084f0L,-1969.00,-1969.00,
0x84f084f0L,-1969.00,-1969.00,
0x85208500L,-1966.00,-1968.00,
0x85208500L,-1966.00,-1968.00,
0x85008500L,-1968.00,-1968.00,
0x85008500L,-1968.00,-1968.00,
0x850084f0L,-1968.00,-1969.00,
0x85008520L,-1968.00,-1966.00,
0x85008510L,-1968.00,-1967.00,
0x85008510L,-1968.00,-1967.00,
0x84e08530L,-1970.00,-1965.00,
0x84e08530L,-1970.00,-1965.00,
0x85008510L,-1968.00,-1967.00,
0x85008520L,-1968.00,-1966.00,
0x85008530L,-1968.00,-1965.00,
0x85008530L,-1968.00,-1965.00,
0x84e08500L,-1970.00,-1968.00,
0x84e08500L,-1970.00,-1968.00,
0x84e08520L,-1970.00,-1966.00,
0x84f08510L,-1969.00,-1967.00,
0x850084f0L,-1968.00,-1969.00,
0x850084f0L,-1968.00,-1969.00,
0x85208510L,-1966.00,-1967.00,
0x85208510L,-1966.00,-1967.00,
0x85108550L,-1967.00,-1963.00,
0x85008520L,-1968.00,-1966.00,
0x85008540L,-1968.00,-1964.00,
0x85008540L,-1968.00,-1964.00,
0x85108540L,-1967.00,-1964.00,
0x85108540L,-1967.00,-1964.00,
0x84f08510L,-1969.00,-1967.00,
0x85008550L,-1968.00,-1963.00,
0x84f08510L,-1969.00,-1967.00,
0x84f08510L,-1969.00,-1967.00,
0x84f08510L,-1969.00,-1967.00,
0x84f08510L,-1969.00,-1967.00,
