adc_data,i_data,q_data
0x30008e6d,0,-403,
0x3fe58eaa,-27,-342,
0x3ff08ee6,-16,-282,
0x300f8f06,15,-250,
0x30208f06,32,-250,
0x30058f0d,5,-243,
0x3ff88f37,-8,-201,
0x302f8f67,47,-153,
0x30798f5d,121,-163,
0x309b8f23,155,-221,
0x308c8ee5,140,-283,
0x30438ec3,67,-317,
0x30008edf,0,-289,
0x3ff58f1c,-11,-228,
0x30268f43,38,-189,
0x305a8f2d,90,-211,
0x30598ef3,89,-269,
0x301b8ec4,27,-316,
0x3fa28eca,-94,-310,
0x3f3a8f21,-198,-223,
0x3f2e8fb6,-210,-74,
0x3f998026,-103,38,
0x303f8031,63,49,
0x30c08fd1,192,-47,
0x30c78f4b,199,-181,
0x30718eed,113,-275,
0x3ffc8eee,-4,-274,
0x3fa18f3e,-95,-194,
0x3f988fb1,-104,-79,
0x3ff78007,-9,7,
0x30908001,144,1,
0x30d58f0b,213,-245,
0x30748ebb,116,-325,
0x3fef8ec2,-17,-318,
0x3fa48f16,-92,-234,
0x3fb68f7a,-74,-134,
0x30028fb1,2,-79,
0x30508fa6,80,-90,
0x30728f71,114,-143,
0x30548f3d,84,-195,
0x30148f3d,20,-195,
0x3ffc8f6c,-4,-148,
0x30268f98,38,-104,
0x30548f99,84,-103,
0x306e8f7c,110,-132,
0x30748f5c,116,-164,
0x30708f47,112,-185,
0x307d8f3b,125,-197,
0x30908f1a,144,-230,
0x30728ee5,114,-283,
0x30278ed3,39,-301,
0x3fe68ef6,-26,-266,
0x3fce8f39,-50,-199,
0x3fdb8f6d,-37,-147,
0x3fff8f8b,-1,-117,
0x30228f89,34,-119,
0x301e8f76,30,-138,
0x30178f73,23,-141,
0x30378f71,55,-143,
0x30518f4b,81,-181,
0x30478f1d,71,-227,
0x30148eff,20,-257,
0x3f818f2c,-127,-212,
0x3f788f71,-136,-143,
0x3f9c8fae,-100,-82,
0x3fd78fbb,-41,-69,
0x30068fa7,6,-89,
0x30078f86,7,-122,
0x3fd88f72,-40,-142,
0x3f9c8f8f,-100,-113,
0x3f7b8fd8,-133,-40,
0x3f878029,-121,41,
0x3fd28068,-46,104,
0x30508068,80,104,
0x30b28018,178,24,
0x30d28f96,210,-106,
0x30a08f22,160,-222,
0x302b8ef4,43,-268,
0x3fc88f0f,-56,-241,
0x3fa88f62,-88,-158,
0x3fd48faa,-44,-86,
0x301b8fb8,27,-72,
0x304d8f97,77,-105,
0x30558f63,85,-157,
0x30288f41,40,-191,
0x3ff68f50,-10,-176,
0x3ff18f7d,-15,-131,
0x300c8f9d,12,-99,
0x302a8fa0,42,-96,
0x30318f92,49,-110,
0x30198f81,25,-127,
0x30038f89,3,-119,
0x301d8f99,29,-103,
0x303c8f69,60,-151,
0x30268f5d,38,-163,
0x301c8f5f,28,-161,
0x302e8f69,46,-151,
0x30608f59,96,-167,
0x30838f1f,131,-225,
0x30698ecf,105,-305,
0x30128e9f,18,-353,
0x3fbe8eac,-66,-340,
0x3f908ee5,-112,-283,
0x3f978f28,-105,-216,
0x3fcb8f4d,-53,-179,
0x30018f3f,1,-193,
0x30028f14,2,-236,
0x3feb8efd,-21,-259,
0x3fd98f04,-39,-252,
0x3fcb8f07,-53,-249,
0x3fb28f05,-78,-251,
0x3f928f0b,-110,-245,
0x3f6d8f1d,-147,-227,
0x3f4f8f3f,-177,-193,
0x3f608f6c,-160,-148,
0x3f918f89,-111,-119,
0x3fe58f71,-27,-143,
0x301d8f24,29,-220,
0x30078eb6,7,-330,
0x3f9e8e6b,-98,-405,
0x3f0f8e6d,-241,-403,
0x3ea18ec9,-351,-311,
0x3e828f54,-382,-172,
0x3ed78fd0,-297,-48,
0x3ff68fb1,-10,-79,
0x30138f3d,19,-195,
0x3fda8edf,-38,-289,
0x3f758ec9,-139,-311,
0x3f2a8efa,-214,-262,
0x3f288f4b,-216,-181,
0x3f638f81,-157,-127,
0x3fa78f7f,-89,-129,
0x3fc08f59,-64,-167,
0x3fb68f31,-74,-207,
0x3f878f27,-121,-217,
0x3f748f44,-140,-188,
0x3f878f58,-121,-168,
0x3f948f55,-108,-171,
0x3f888f4d,-120,-179,
0x3f858f51,-123,-175,
0x3f8f8f68,-113,-152,
0x3fb58f73,-75,-141,
0x3fee8f65,-18,-155,
0x30088f31,8,-207,
0x3fe28efa,-30,-262,
0x3f9c8ef4,-100,-268,
0x3f798f20,-135,-224,
0x3f918f4d,-111,-179,
0x3fbf8f5f,-65,-161,
0x3fe38f4d,-29,-179,
0x3fcd8f30,-51,-208,
0x3f968f3b,-106,-197,
0x3f7c8f7d,-132,-131,
0x3fa68fc9,-90,-55,
0x300d8fe7,13,-25,
0x30a68f62,166,-158,
0x30658efe,101,-258,
0x3fd58ee7,-43,-281,
0x3f5a8f35,-166,-203,
0x3f288fbf,-216,-65,
0x3f68804e,-152,78,
0x3fff8088,-1,136,
0x30808053,128,83,
0x30a78fde,167,-34,
0x30798f7c,121,-132,
0x300e8f5b,14,-165,
0x3fad8f91,-83,-111,
0x3fa68ff0,-90,-16,
0x3fed8032,-19,50,
0x302f802c,47,44,
0x30448001,68,1,
0x30328fde,50,-34,
0x30148fd6,20,-42,
0x300f8fde,15,-34,
0x302f8fdc,47,-36,
0x30458fbd,69,-67,
0x303e8f99,62,-103,
0x30238f7f,35,-129,
0x3ffb8f84,-5,-124,
0x30048fa4,4,-92,
0x303e8faa,62,-86,
0x306d8f81,109,-127,
0x30598f46,89,-186,
0x30158f23,21,-221,
0x3fd38f42,-45,-190,
0x3fc48f81,-60,-127,
0x301c8fcc,28,-52,
0x303b8fbd,59,-67,
0x304f8fab,79,-85,
0x30688f90,104,-112,
0x307a8f6b,122,-149,
0x30818f3e,129,-194,
0x30658f13,101,-237,
0x30368efb,54,-261,
0x3ff58f06,-11,-250,
0x3fdb8f3b,-37,-197,
0x3ff48f71,-12,-143,
0x30138f7f,19,-129,
0x301b8f76,27,-138,
0x30068f72,6,-142,
0x3fe58f7d,-27,-131,
0x3fda8fa1,-38,-95,
0x3ff78fc1,-9,-63,
0x30388fc4,56,-60,
0x30738f9a,115,-102,
0x308a8f55,138,-171,
0x306a8f0e,106,-242,
0x3fff8ef3,-1,-269,
0x3f838f25,-125,-219,
0x3f368f95,-202,-107,
0x3f2b801a,-213,26,
0x3f718083,-143,131,
0x3fec80b3,-20,179,
0x30648094,100,148,
0x30ad8040,173,64,
0x30ac8fdb,172,-37,
0x306e8f9c,110,-100,
0x3ff88fc8,-8,-56,
0x300e8fff,14,-1,
0x305c8004,92,4,
0x30948fcf,148,-49,
0x308e8f83,142,-125,
0x30488f50,72,-176,
0x3feb8f5c,-21,-164,
0x3fcc8f9a,-52,-102,
0x3fe98fd6,-23,-42,
0x30268fe5,38,-27,
0x30568fbf,86,-65,
0x304b8f8b,75,-117,
