adc_data,i_data,q_data
0x377c87ff,1916,2047,
0x37f887b8,2040,1976,
0x37f08619,2032,1561,
0x377284a5,1906,1189,
0x3680836d,1664,877,
0x352c8296,1324,662,
0x3384823c,900,572,
0x31cb8282,459,642,
0x304e8366,78,870,
0x3f4b84b5,3915,1205,
0x3ed78632,3799,1586,
0x3eee87a8,3822,1960,
0x3f5b87ff,3931,2047,
0x302387ff,35,2047,
0x315587ff,341,2047,
0x32e387ff,739,2047,
0x349687ff,1174,2047,
0x363587ff,1589,2047,
0x377487ff,1908,2047,
0x37fe86e1,2046,1761,
0x37a084fc,1952,1276,
0x367c8378,1660,888,
0x34bd8298,1213,664,
0x32d98290,729,656,
0x31508335,336,821,
0x30508434,80,1076,
0x3fd2853c,4050,1340,
0x3f958628,3989,1576,
0x3f768702,3958,1794,
0x3f5f87f8,3935,2040,
0x3f9c87ff,3996,2047,
0x31d087ff,464,2047,
0x338087ff,896,2047,
0x352c87ff,1324,2047,
0x368087ff,1664,2047,
0x375087ff,1872,2047,
0x37b886a8,1976,1704,
0x37a08500,1952,1280,
0x36ea8370,1770,880,
0x35948237,1428,567,
0x33c8819f,968,415,
0x31e281d0,482,464,
0x304882b4,72,692,
0x3f1b8408,3867,1032,
0x3e76859c,3702,1436,
0x3e61873a,3681,1850,
0x3edb87ff,3803,2047,
0x3fd587ff,4053,2047,
0x313187ff,305,2047,
0x32ca87ff,714,2047,
0x345087ff,1104,2047,
0x35a487ff,1444,2047,
0x36aa87ff,1706,2047,
0x376387a1,1891,1953,
0x378a85f2,1930,1522,
0x36f68452,1782,1106,
0x35b88315,1464,789,
0x34028272,1026,626,
0x322b828d,555,653,
0x309a8353,154,851,
0x3f7e8481,3966,1153,
0x3ee685e3,3814,1507,
0x3f2187ff,3873,2047,
0x3fa887ff,4008,2047,
0x306e87ff,110,2047,
0x319887ff,408,2047,
0x330c87ff,780,2047,
0x34a587ff,1189,2047,
0x363387ff,1587,2047,
0x376987ff,1897,2047,
0x37ff8762,2047,1890,
0x37f08576,2032,1398,
0x370883d2,1800,978,
0x358e82c2,1422,706,
0x33e88263,1000,611,
0x32588297,600,663,
0x31168340,278,832,
0x30238429,35,1065,
0x3f6c8540,3948,1344,
0x3ef3868c,3827,1676,
0x3edc87fe,3804,2046,
0x3f5f87ff,3935,2047,
0x307e87ff,126,2047,
0x322487ff,548,2047,
0x33fd87ff,1021,2047,
0x35b387ff,1459,2047,
0x370487ff,1796,2047,
0x37da87ff,2010,2047,
0x37ff8688,2047,1672,
0x37c884d0,1992,1232,
0x36c08358,1728,856,
0x3528826c,1320,620,
0x335e822e,862,558,
0x30828386,130,902,
0x3f9484b0,3988,1200,
0x3f018608,3841,1544,
0x3ee38784,3811,1924,
0x3f4287ff,3906,2047,
0x304087ff,64,2047,
0x319887ff,408,2047,
0x330687ff,774,2047,
0x345087ff,1104,2047,
0x357a87ff,1402,2047,
0x368087ff,1664,2047,
0x372e87e8,1838,2024,
0x37698658,1897,1624,
0x36fc84c2,1788,1218,
0x35e0836b,1504,875,
0x344382a9,1091,681,
0x3298829f,664,671,
0x31248328,292,808,
0x30118414,17,1044,
0x3f5b8530,3931,1328,
0x3ee38660,3811,1632,
0x3eb887b0,3768,1968,
0x3ef487ff,3828,2047,
0x3fad87ff,4013,2047,
0x30f187ff,241,2047,
0x32ab87ff,683,2047,
0x349e87ff,1182,2047,
0x364f87ff,1615,2047,
0x376487ff,1892,2047,
0x37b88741,1976,1857,
0x37508596,1872,1430,
0x35408388,1344,904,
0x3400831c,1024,796,
0x32b88305,696,773,
0x31728343,370,835,
0x303683e4,54,996,
0x3f2e84f0,3886,1264,
0x3e98865e,3736,1630,
0x3eb687f2,3766,2034,
0x3f6c87ff,3948,2047,
0x309087ff,144,2047,
0x31ea87ff,490,2047,
0x335887ff,856,2047,
0x34c887ff,1224,2047,
0x362287ff,1570,2047,
0x372687ff,1830,2047,
0x379186ac,1937,1708,
0x374084f2,1856,1266,
0x36388384,1592,900,
0x34b482a0,1204,672,
0x3308826a,776,618,
0x316882c5,360,709,
0x3ffe83a0,4094,928,
0x3eeb84de,3819,1246,
0x3e538665,3667,1637,
0x3e4b87ff,3659,2047,
0x3ee087ff,3808,2047,
0x300287ff,2,2047,
0x316487ff,356,2047,
0x32df87ff,735,2047,
0x346487ff,1124,2047,
0x35d087ff,1488,2047,
0x37e887c1,2024,1985,
0x37ff85e0,2047,1504,
0x37728418,1906,1048,
0x361082cb,1552,715,
0x3448823e,1096,574,
0x32808270,640,624,
0x31008331,256,817,
0x30008450,0,1104,
0x3f858578,3973,1400,
0x3f578689,3927,1673,
0x3f57878a,3927,1930,
0x3f8387ff,3971,2047,
0x3ff087ff,4080,2047,
0x30d687ff,214,2047,
0x325487ff,596,2047,
0x342787ff,1063,2047,
0x35e487ff,1508,2047,
0x372887ff,1832,2047,
0x37b887a1,1976,1953,
0x379885d8,1944,1496,
0x36ec845c,1772,1116,
0x35c88334,1480,820,
0x344a8280,1098,640,
0x32988258,664,600,
0x30e982d2,233,722,
0x3f7a83e2,3962,994,
0x3ea4855a,3748,1370,
0x3e6a86f8,3690,1784,
0x3ea887ff,3752,2047,
0x3f5487ff,3924,2047,
0x306e87ff,110,2047,
