adc_data,i_data,q_data
0x37680df4,1896,3572,
0x36bd0f24,1725,3876,
0x36650fff,1637,4095,
0x36a70fff,1703,4095,
0x37980fff,1944,4095,
0x39320fff,2354,4095,
0x3b130fff,2835,4095,
0x3cfc0fff,3324,4095,
0x3e800fff,3712,4095,
0x3f600fff,3936,4095,
0x3fb50fff,4021,4095,
0x3f810e99,3969,3737,
0x3ec40d3c,3780,3388,
0x3d920c33,3474,3123,
0x3c000bb0,3072,2992,
0x3a500bca,2640,3018,
0x38e40c7c,2276,3196,
0x37d30d8b,2003,3467,
0x372e0ec8,1838,3784,
0x36dd0fff,1757,4095,
0x36ed0fff,1773,4095,
0x37690fff,1897,4095,
0x38630fff,2147,4095,
0x39be0fff,2494,4095,
0x3b400fff,2880,4095,
0x3cce0fff,3278,4095,
0x3e2c0fff,3628,4095,
0x3f320fff,3890,4095,
0x3fad0fff,4013,4095,
0x3f740e52,3956,3666,
0x3e780cc8,3704,3272,
0x3b500b88,2896,2952,
0x39cc0bd4,2508,3028,
0x38780c81,2168,3201,
0x37610d80,1889,3456,
0x36940ebd,1684,3773,
0x36340fff,1588,4095,
0x36690fff,1641,4095,
0x37480fff,1864,4095,
0x38b70fff,2231,4095,
0x3a830fff,2691,4095,
0x3c5c0fff,3164,4095,
0x3dc00fff,3520,4095,
0x3e880fff,3720,4095,
0x3ec40fff,3780,4095,
0x3e980efc,3736,3836,
0x3e0a0dd9,3594,3545,
0x3d380cec,3384,3308,
0x3c160c3f,3094,3135,
0x3ac10bfc,2753,3068,
0x39610c28,2401,3112,
0x38190cc8,2073,3272,
0x36ef0dd8,1775,3544,
0x362d0f54,1581,3924,
0x35f30fff,1523,4095,
0x36740fff,1652,4095,
0x37ae0fff,1966,4095,
0x39730fff,2419,4095,
0x3b5c0fff,2908,4095,
0x3d240fff,3364,4095,
0x3e780fff,3704,4095,
0x3f3e0fff,3902,4095,
0x3f780ea1,3960,3745,
0x3eec0d40,3820,3392,
0x3dd20c1c,3538,3100,
0x3c400b74,3136,2932,
0x3a840b70,2692,2928,
0x38eb0c10,2283,3088,
0x37b10d28,1969,3368,
0x36e60e79,1766,3705,
0x368f0ff2,1679,4082,
0x36a90fff,1705,4095,
0x374b0fff,1867,4095,
0x38770fff,2167,4095,
0x39f70fff,2551,4095,
0x3ba00fff,2976,4095,
0x3d4c0fff,3404,4095,
0x3eb50fff,3765,4095,
0x3fa00fff,4000,4095,
0x3fc70f70,4039,3952,
0x3f1c0db0,3868,3504,
0x3dda0c78,3546,3192,
0x3c680bde,3176,3038,
0x3b080bc5,2824,3013,
0x39c00c08,2496,3080,
0x38850c94,2181,3220,
0x37620d7c,1890,3452,
0x368d0ec8,1677,3784,
0x36480fff,1608,4095,
0x36b70fff,1719,4095,
0x37b90fff,1977,4095,
0x39150fff,2325,4095,
0x3a920fff,2706,4095,
0x3d200fff,3360,4095,
0x3e2c0fff,3628,4095,
0x3ef80fff,3832,4095,
0x3f580fe4,3928,4068,
0x3f3a0e49,3898,3657,
0x3e980cd7,3736,3287,
0x3d5f0bac,3423,2988,
0x3baa0b15,2986,2837,
0x39be0b38,2494,2872,
0x37e50c21,2021,3105,
0x368f0db1,1679,3505,
0x36110f9e,1553,3998,
0x36680fff,1640,4095,
0x375d0fff,1885,4095,
0x38a30fff,2211,4095,
0x39fe0fff,2558,4095,
0x3b3d0fff,2877,4095,
0x3c760fff,3190,4095,
0x3da60fff,3494,4095,
0x3ec00fff,3776,4095,
0x3f760fff,3958,4095,
0x3f900e98,3984,3736,
0x3edd0cf0,3805,3312,
0x3d860bb8,3462,3000,
0x3be80b34,3048,2868,
0x3a450b52,2629,2898,
0x38d30bee,2259,3054,
0x37b80ce9,1976,3305,
0x37030e1a,1795,3610,
0x36ad0f62,1709,3938,
0x36bd0fff,1725,4095,
0x37f80fff,2040,4095,
0x393b0fff,2363,4095,
0x3aea0fff,2794,4095,
0x3cb80fff,3256,4095,
0x3e3e0fff,3646,4095,
0x3f280fff,3880,4095,
0x3f480f98,3912,3992,
0x3ec80e08,3784,3592,
0x3de70ceb,3559,3307,
0x3ce00c29,3296,3113,
0x3ba20bb5,2978,2997,
0x3a330baa,2611,2986,
0x38a90c1f,2217,3103,
0x37470d2e,1863,3374,
0x36690ec8,1641,3784,
0x364f0fff,1615,4095,
0x36d30fff,1747,4095,
0x37e90fff,2025,4095,
0x39620fff,2402,4095,
0x3af90fff,2809,4095,
0x3c790fff,3193,4095,
0x3db80fff,3512,4095,
0x3e880fff,3720,4095,
0x3eec0fff,3820,4095,
0x3ef80f44,3832,3908,
0x3eb20dfc,3762,3580,
0x3e140cd0,3604,3280,
0x3d180bd0,3352,3024,
0x3bac0b2b,2988,2859,
0x39db0b1c,2523,2844,
0x37fd0bdd,2045,3037,
0x35e00f4e,1504,3918,
0x362a0fff,1578,4095,
0x372e0fff,1838,4095,
0x388f0fff,2191,4095,
0x3a080fff,2568,4095,
0x3b7c0fff,2940,4095,
0x3cf10fff,3313,4095,
0x3e500fff,3664,4095,
0x3f530fff,3923,4095,
0x3fc90fff,4041,4095,
0x3f880e4d,3976,3661,
0x3ea30ce0,3747,3296,
0x3d5c0bf0,3420,3056,
0x3bde0b82,3038,2946,
0x3a580b94,2648,2964,
0x38ee0c1e,2286,3102,
0x37c70d0a,1991,3338,
0x36fc0e40,1788,3648,
0x369e0fa4,1694,4004,
0x36b50fff,1717,4095,
0x372e0fff,1838,4095,
0x381f0fff,2079,4095,
0x39800fff,2432,4095,
0x3b280fff,2856,4095,
0x3cd60fff,3286,4095,
0x3e400fff,3648,4095,
0x3f110fff,3857,4095,
0x3f5c0fff,3932,4095,
0x3f360eda,3894,3802,
0x3ea00d78,3744,3448,
0x3d8a0c58,3466,3160,
0x3a240ba2,2596,2978,
0x385d0c4c,2141,3148,
0x36f70d90,1783,3472,
0x36470f44,1607,3908,
0x36450fff,1605,4095,
0x36e00fff,1760,4095,
0x37e90fff,2025,4095,
0x391e0fff,2334,4095,
0x3a610fff,2657,4095,
0x3bc10fff,3009,4095,
0x3d420fff,3394,4095,
0x3ea10fff,3745,4095,
0x3f930fff,3987,4095,
0x3fe00fa2,4064,4002,
0x3f600dc0,3936,3520,
0x3e240c4a,3620,3146,
0x3c740b7b,3188,2939,
0x3a9f0b62,2719,2914,
0x38f50bfa,2293,3066,
0x37b90d0c,1977,3340,
0x37010e60,1793,3680,
0x36c00fb6,1728,4022,
0x36e30fff,1763,4095,
0x37580fff,1880,4095,
0x38120fff,2066,4095,
0x39300fff,2352,4095,
0x3aac0fff,2732,4095,
0x3c570fff,3159,4095,
0x3de00fff,3552,4095,
0x3efc0fff,3836,4095,
0x3f6c0fff,3948,4095,
0x3e9c0d88,3740,3464,
0x3d8e0c78,3470,3192,
0x3c200bcd,3104,3021,
0x3a850baf,2693,2991,
0x39080c28,2312,3112,
0x37e20d09,2018,3337,
0x37290e2d,1833,3629,
0x36c80f68,1736,3944,
0x36a20fff,1698,4095,
0x36da0fff,1754,4095,
0x37a60fff,1958,4095,
0x38fd0fff,2301,4095,
0x3ab80fff,2744,4095,
0x3c890fff,3209,4095,
0x3e040fff,3588,4095,
0x3ef50fff,3829,4095,
0x3f680fff,3944,4095,
0x3f600e6b,3936,3691,
0x3ec00cdc,3776,3292,
0x3d8c0b9c,3468,2972,
0x3be00ae9,3040,2793,
0x39fb0aea,2555,2794,
0x383d0ba3,2109,2979,
0x36ed0cee,1773,3310,
0x362c0e8c,1580,3724,
0x36080fff,1544,4095,
0x368a0fff,1674,4095,
0x37880fff,1928,4095,
0x38e00fff,2272,4095,
0x3a6c0fff,2668,4095,
0x3bfc0fff,3068,4095,
0x3e280fff,3624,4095,
0x3eb10fff,3761,4095,
0x3ee80f68,3816,3944,
0x3ed00e12,3792,3602,
0x3e410cb8,3649,3256,
0x3d100b8a,3344,2954,
0x3b510ae6,2897,2790,
0x396a0b08,2410,2824,
0x37ba0bf0,1978,3056,
0x369e0d64,1694,3428,
0x362f0f08,1583,3848,
0x36500fff,1616,4095,
0x36d80fff,1752,4095,
0x37cb0fff,1995,4095,
0x392e0fff,2350,4095,
0x3adb0fff,2779,4095,
0x3c9d0fff,3229,4095,
0x3e1a0fff,3610,4095,
0x3ef40fff,3828,4095,
0x3f2c0fff,3884,4095,
0x3f050eec,3845,3820,
0x3e740dba,3700,3514,
0x3d7f0cc5,3455,3269,
0x3c3c0c2f,3132,3119,
0x3acd0c0f,2765,3087,
0x396a0c62,2410,3170,
0x383f0d20,2111,3360,
0x37560e24,1878,3620,
0x36b30f5e,1715,3934,
0x36720fff,1650,4095,
0x36c60fff,1734,4095,
0x390f0fff,2319,4095,
0x3aa10fff,2721,4095,
0x3c3c0fff,3132,4095,
0x3dbb0fff,3515,4095,
0x3f040fff,3844,4095,
0x3fce0fff,4046,4095,
0x3fc80ec3,4040,3779,
0x3ee80d04,3816,3332,
0x3d640bdc,3428,3036,
0x3b910b6e,2961,2926,
0x39e10bbc,2529,3004,
0x389a0c7c,2202,3196,
0x37af0d71,1967,3441,
0x37240e80,1828,3712,
0x36d80f9c,1752,3996,
0x36cc0fff,1740,4095,
0x370d0fff,1805,4095,
0x37d60fff,2006,4095,
0x393c0fff,2364,4095,
0x3af40fff,2804,4095,
0x3cb80fff,3256,4095,
0x3e440fff,3652,4095,
0x3f400fff,3904,4095,
0x3f900fd1,3984,4049,
0x3f280e0a,3880,3594,
0x3e100ca3,3600,3235,
0x3c780bd0,3192,3024,
0x3ab90ba8,2745,2984,
0x392b0c23,2347,3107,
0x380a0d0c,2058,3340,
0x376b0e22,1899,3618,
0x36ea0fff,1770,4095,
0x36e70fff,1767,4095,
0x37580fff,1880,4095,
0x38640fff,2148,4095,
0x3a010fff,2561,4095,
0x3bdf0fff,3039,4095,
0x3d810fff,3457,4095,
0x3eaa0fff,3754,4095,
0x3f510fff,3921,4095,
0x3f7b0f84,3963,3972,
0x3fa40fff,4004,4095,
0x3e410cae,3649,3246,
0x3fff0e97,4095,3735,
0x3b310b68,2865,2920,
0x39920bbb,2450,3003,
0x38400c8a,2112,3210,
0x3ae00bdf,2784,3039,
0x39b80c40,2488,3136,
0x38980cd9,2200,3289,
