adc_data,i_data,q_data
0x33260b9c,806,2972,
0x331f0bff,799,3071,
0x33830c81,899,3201,
0x34480ccc,1096,3276,
0x34f90cb1,1273,3249,
0x35360c54,1334,3156,
0x34e40c06,1252,3078,
0x34320bf8,1074,3064,
0x335f0c3c,863,3132,
0x32c70cc4,711,3268,
0x32a80d52,680,3410,
0x32ff0da0,767,3488,
0x339b0d93,923,3475,
0x343b0d2c,1083,3372,
0x34970ca2,1175,3234,
0x34a20c37,1186,3127,
0x34740c23,1140,3107,
0x343d0c5d,1085,3165,
0x341d0cb9,1053,3257,
0x34190d14,1049,3348,
0x34280d38,1064,3384,
0x34110d1c,1041,3356,
0x33ba0ce6,954,3302,
0x335b0cc4,859,3268,
0x33290cc3,809,3267,
0x33480cd6,840,3286,
0x33c80ccc,968,3276,
0x345d0c89,1117,3209,
0x34be0c22,1214,3106,
0x34dd0bcd,1245,3021,
0x34c30ba8,1219,2984,
0x340b0bda,1035,3034,
0x33930c1e,915,3102,
0x33150c68,789,3176,
0x32a10cc5,673,3269,
0x32850d2d,645,3373,
0x32dd0d80,733,3456,
0x337a0d78,890,3448,
0x34150d2c,1045,3372,
0x34790cbf,1145,3263,
0x349c0c76,1180,3190,
0x34b10c6c,1201,3180,
0x34c70c80,1223,3200,
0x34bb0c8c,1211,3212,
0x34860ca0,1158,3232,
0x343b0cb4,1083,3252,
0x34050cbd,1029,3261,
0x33eb0caa,1003,3242,
0x33de0c70,990,3184,
0x33b90c1c,953,3100,
0x338f0bde,911,3038,
0x337d0bcd,893,3021,
0x33990beb,921,3051,
0x33ea0c26,1002,3110,
0x34550c51,1109,3153,
0x34a70c52,1191,3154,
0x34ab0c38,1195,3128,
0x344f0c28,1103,3112,
0x33c70c3a,967,3130,
0x33460c68,838,3176,
0x32ff0caa,767,3242,
0x33230cd0,803,3280,
0x33e40c26,996,3110,
0x33fd0b94,1021,2964,
0x33bc0b3a,956,2874,
0x33570b5f,855,2911,
0x332b0bfc,811,3068,
0x33670cc0,871,3264,
0x33fd0d44,1021,3396,
0x348b0d4d,1163,3405,
0x34cb0ce4,1227,3300,
0x347e0c48,1150,3144,
0x33be0bd6,958,3030,
0x32fb0bda,763,3034,
0x32970c38,663,3128,
0x32bf0cb0,703,3248,
0x33560cfd,854,3325,
0x340b0d06,1035,3334,
0x348f0cd6,1167,3286,
0x34cb0ca6,1227,3238,
0x34d00c9e,1232,3230,
0x34be0cb0,1214,3248,
0x34970cc8,1175,3272,
0x345f0cc2,1119,3266,
0x34050ca6,1029,3238,
0x33990c90,921,3216,
0x33530c95,851,3221,
0x335b0ca5,859,3237,
0x339b0c9a,923,3226,
0x33f80c70,1016,3184,
0x34470c40,1095,3136,
0x34820c1e,1154,3102,
0x34b40c1e,1204,3102,
0x34bd0c0c,1213,3084,
0x34560c05,1110,3077,
0x33d10c2b,977,3115,
0x336b0c61,875,3169,
0x33460c90,838,3216,
0x33550c92,853,3218,
0x33690c65,873,3173,
0x336f0c38,879,3128,
0x338b0c36,907,3126,
0x33bf0c50,959,3152,
0x341b0c82,1051,3202,
0x34970ca4,1175,3236,
0x35030c90,1283,3216,
0x35110c48,1297,3144,
0x349f0c10,1183,3088,
0x33fc0c15,1020,3093,
0x335d0c4b,861,3147,
0x32f20c9c,754,3228,
0x32d70ce2,727,3298,
0x33030d0d,771,3341,
0x336b0d11,875,3345,
0x33eb0cf8,1003,3320,
0x34530cc1,1107,3265,
0x348e0c94,1166,3220,
0x349f0c8c,1183,3212,
0x349f0ca3,1183,3235,
0x34930cc3,1171,3267,
0x348d0ce0,1165,3296,
0x347f0ccb,1151,3275,
0x34410c88,1089,3208,
0x33c50c4a,965,3146,
0x33170c69,791,3177,
0x334f0ca4,847,3236,
0x33e50cb9,997,3257,
0x347e0c84,1150,3204,
0x34c60c2e,1222,3118,
0x34b40bf7,1204,3063,
0x347d0c06,1149,3078,
0x343c0c40,1084,3136,
0x33f10c84,1009,3204,
