adc_data,i_data,q_data
0x3a8f8fe8,2703,4072,
0x39278010,2343,16,
0x380080b7,2048,183,
0x380081ef,2048,495,
0x3800839d,2048,925,
0x38008570,2048,1392,
0x380086e0,2048,1760,
0x385787be,2135,1982,
0x39d387ff,2515,2047,
0x3b3587de,2869,2014,
0x3c7b8760,3195,1888,
0x3d9a868b,3482,1675,
0x3e738565,3699,1381,
0x3ecf8400,3791,1024,
0x3e8f8288,3727,648,
0x3dcb8158,3531,344,
0x3cb98082,3257,130,
0x3b758009,2933,9,
0x3a1b8ff5,2587,4085,
0x38c18042,2241,66,
0x380080fe,2048,254,
0x38008230,2048,560,
0x3800839e,2048,926,
0x3800850a,2048,1290,
0x3800864d,2048,1613,
0x38578740,2135,1856,
0x39c387c0,2499,1984,
0x3b5387bc,2899,1980,
0x3ce68730,3302,1840,
0x3e31860c,3633,1548,
0x3ed28482,3794,1154,
0x3e12818d,3602,397,
0x3d09809d,3337,157,
0x3bed801d,3053,29,
0x3ae38fe8,2787,4072,
0x39d78fe0,2519,4064,
0x38a78011,2215,17,
0x380080b3,2048,179,
0x380081eb,2048,491,
0x380083a9,2048,937,
0x380085ae,2048,1454,
0x3800877a,2048,1914,
0x385787ff,2135,2047,
0x3a7a87ff,2682,2047,
0x3c6f87ff,3183,2047,
0x3de08720,3552,1824,
0x3ead859a,3757,1434,
0x3ec1840c,3777,1036,
0x3e5082c3,3664,707,
0x3daf81d5,3503,469,
0x3d058116,3333,278,
0x3c1b8066,3099,102,
0x3adb8fef,2779,4079,
0x395e8ff6,2398,4086,
0x3800808b,2048,139,
0x380081b2,2048,434,
0x3800832c,2048,812,
0x380084c0,2048,1216,
0x38008630,2048,1584,
0x38008748,2048,1864,
0x397b87d8,2427,2008,
0x3b1787d7,2839,2007,
0x3dcb8638,3531,1592,
0x3e6684dc,3686,1244,
0x3e70837a,3696,890,
0x3e12824d,3602,589,
0x3d658144,3429,324,
0x3c61807c,3169,124,
0x3b218003,2849,3,
0x39c38ff7,2499,4087,
0x3869805c,2153,92,
0x3800812c,2048,300,
0x38008248,2048,584,
0x380083a9,2048,937,
0x38008539,2048,1337,
0x380086c9,2048,1737,
0x380087ff,2048,2047,
0x39b187ff,2481,2047,
0x3bbd87ff,3005,2047,
0x3da387a8,3491,1960,
0x3eee861c,3822,1564,
0x3f68844a,3944,1098,
0x3f0f829b,3855,667,
0x3e1b8159,3611,345,
0x3cdb80a5,3291,165,
0x3b9f8069,2975,105,
0x3a878084,2695,132,
0x39a980c7,2473,199,
0x38e78120,2279,288,
0x38168195,2070,405,
0x38008260,2048,608,
0x380083a5,2048,933,
0x38008536,2048,1334,
0x38bf87db,2239,2011,
0x3a9f87ff,2719,2047,
0x3c6687c6,3174,1990,
0x3dc186b8,3521,1720,
0x3e7a8554,3706,1364,
0x3e9983f1,3737,1009,
0x3e5582c1,3669,705,
0x3ddb81bf,3547,447,
0x3d2780dd,3367,221,
0x3c198022,3097,34,
0x3abb8fc0,2747,4032,
0x392f8fe8,2351,4072,
0x380080b4,2048,180,
0x380081f4,2048,500,
0x3800836a,2048,874,
0x380084ea,2048,1258,
0x3800864c,2048,1612,
0x3819875c,2073,1884,
0x398787f2,2439,2034,
0x3b1b87ff,2843,2047,
0x3c968788,3222,1928,
0x3dd08695,3536,1685,
0x3ea68550,3750,1360,
0x3f0b83dc,3851,988,
0x3ee4824e,3812,590,
0x3e1380ec,3603,236,
0x3cc78fef,3271,4079,
0x3b338f89,2867,3977,
0x39a38fbd,2467,4029,
0x38578078,2135,120,
0x38008173,2048,371,
0x380083d3,2048,979,
0x38008533,2048,1331,
0x3800867a,2048,1658,
0x381b8775,2075,1909,
0x398d87ff,2445,2047,
0x3b2b87ff,2859,2047,
0x3ca48788,3236,1928,
0x3db68689,3510,1673,
0x3e3b8548,3643,1352,
0x3e30841a,3632,1050,
0x3dc5831e,3525,798,
0x3d2f825f,3375,607,
0x3c8581bf,3205,447,
0x3bb3813c,2995,316,
0x3aa780d8,2727,216,
0x393980ca,2361,202,
0x38008163,2048,355,
0x380082c4,2048,708,
0x380084a9,2048,1193,
0x380086a1,2048,1697,
0x380087ff,2048,2047,
0x397f87ff,2431,2047,
0x3b4287ff,2882,2047,
0x3ca687ba,3238,1978,
0x3d8e86aa,3470,1706,
0x3e028598,3586,1432,
0x3e398498,3641,1176,
0x3e498399,3657,921,
0x3e118287,3601,647,
0x3d73817a,3443,378,
0x3c7c80a3,3196,163,
0x39d3800d,2515,13,
0x3866807f,2150,127,
0x38008170,2048,368,
0x380082d8,2048,728,
0x3800849c,2048,1180,
0x38008643,2048,1603,
0x38008780,2048,1920,
0x392387ff,2339,2047,
0x3abb87ff,2747,2047,
0x3c3987ff,3129,2047,
0x3d848744,3460,1860,
0x3e9e8630,3742,1584,
0x3f4984b4,3913,1204,
0x3f46830c,3910,780,
0x3e978189,3735,393,
0x3d50805c,3408,92,
0x3bae8fc7,2990,4039,
0x3a0f8fe2,2575,4066,
0x38c58079,2245,121,
0x38008156,2048,342,
0x3800825a,2048,602,
0x38008372,2048,882,
0x380084a9,2048,1193,
0x380085f0,2048,1520,
0x381b8718,2075,1816,
0x398587d4,2437,2004,
0x3b2a87fc,2858,2044,
0x3cc38784,3267,1924,
0x3dfc8680,3580,1664,
0x3ea5852c,3749,1324,
0x3eaf83c8,3759,968,
0x3d5881a1,3416,417,
0x3c58810b,3160,267,
0x3b3780c1,2871,193,
0x3a0480c1,2564,193,
0x38bd811b,2237,283,
0x380081e4,2048,484,
0x38008311,2048,785,
0x38008488,2048,1160,
0x38008603,2048,1539,
0x38008740,2048,1856,
0x388687ff,2182,2047,
0x3a0487ff,2564,2047,
0x3ba787ff,2983,2047,
0x3d3387ba,3379,1978,
0x3e5b8676,3675,1654,
0x3eea84ec,3818,1260,
0x3ed38352,3795,850,
0x3e3981f8,3641,504,
0x3d5280f0,3410,240,
0x3c2b802a,3115,42,
0x3aaf8fbf,2735,4031,
0x38f78fea,2295,4074,
0x380080c0,2048,192,
0x3800823c,2048,572,
0x38008416,2048,1046,
0x380085cb,2048,1483,
0x38008709,2048,1801,
0x386f87c0,2159,1984,
0x39c287ff,2498,2047,
0x3af787f0,2807,2032,
0x3c17879d,3095,1949,
0x3e32860d,3634,1549,
0x3ed984c0,3801,1216,
0x3ef4833d,3828,829,
0x3e6281c6,3682,454,
0x3d2980ae,3369,174,
0x3ba38029,2979,41,
0x3a178036,2583,54,
0x38be80c0,2238,192,
0x380081a3,2048,419,
0x380082b8,2048,696,
0x380083c6,2048,966,
0x380084d5,2048,1237,
0x380085f9,2048,1529,
0x38008719,2048,1817,
0x38bb87ff,2235,2047,
0x3a6587ff,2661,2047,
0x3c3787ff,3127,2047,
0x3dc48752,3524,1874,
0x3ebe85cc,3774,1484,
0x3efe8418,3838,1048,
0x3e878281,3719,641,
0x3d948146,3476,326,
0x3c558086,3157,134,
0x3af08035,2800,53,
0x397f8056,2431,86,
0x383f80ea,2111,234,
0x380081d7,2048,471,
0x380082f7,2048,759,
0x38008440,2048,1088,
0x380085a0,2048,1440,
0x38008700,2048,1792,
0x39c087ff,2496,2047,
0x3b7487ff,2932,2047,
0x3d0987fc,3337,2044,
0x3e4986cc,3657,1740,
0x3f138550,3859,1360,
0x3f4a83b0,3914,944,
0x3eea821d,3818,541,
0x3de180ce,3553,206,
0x3c568ffd,3158,4093,
0x3aab8fd3,2731,4051,
0x391f8041,2335,65,
0x3800811e,2048,286,
0x38008244,2048,580,
0x38008378,2048,888,
0x380084a3,2048,1187,
0x380085c1,2048,1473,
0x380086c5,2048,1733,
0x38f28798,2290,1944,
0x3a4b87ff,2635,2047,
0x3bbf87fd,3007,2045,
0x3d168768,3350,1896,
0x3e1d866a,3613,1642,
0x3ecb851c,3787,1308,
0x3efb8396,3835,918,
0x3e818214,3713,532,
0x3d6680d4,3430,212,
0x3bd78020,3031,32,
0x3a1f8016,2591,22,
0x38a780b5,2215,181,
0x380081b7,2048,439,
0x380082c4,2048,708,
0x3800849a,2048,1178,
0x38008588,2048,1416,
0x38008680,2048,1664,
0x38e58768,2277,1896,
0x3a6b87e4,2667,2020,
0x3c1787b0,3095,1968,
0x3d7a86cc,3450,1740,
0x3e45857a,3653,1402,
0x3e6f8414,3695,1044,
0x3e2382d3,3619,723,
0x3d8181c4,3457,452,
0x3c7e80f7,3198,247,
0x3b278081,2855,129,
0x39af808f,2479,143,
0x385f811d,2143,285,
0x3800820e,2048,526,
0x38008329,2048,809,
0x3800844e,2048,1102,
0x38008582,2048,1410,
0x380086b1,2048,1713,
0x386787a5,2151,1957,
0x39d287ff,2514,2047,
0x3b5a87ff,2906,2047,
0x3cce8790,3278,1936,
0x3dfb867a,3579,1658,
0x3ebb851c,3771,1308,
0x3ef28392,3826,914,
0x3e738201,3699,513,
0x3d4d80c7,3405,199,
0x3bc58025,3013,37,
0x3a37801a,2615,26,
0x380b8140,2059,320,
0x38008201,2048,513,
0x380082cf,2048,719,
0x380083ca,2048,970,
0x38008502,2048,1282,
0x38008654,2048,1620,
0x3800877a,2048,1914,
0x394387ff,2371,2047,
0x380086e8,2048,1768,
0x3cdb87c8,3291,1992,
0x3a0787ff,2567,2047,
0x3f1684b9,3862,1209,
0x3cf487a8,3316,1960,
0x3e178156,3607,342,
0x3cb38067,3251,103,
0x3b1d8013,2845,19,
0x3e9982b2,3737,690,
0x3db58191,3509,401,
0x3c6b80cb,3179,203,
0x3adf8089,2783,137,
0x397780de,2423,222,
0x38668198,2150,408,
0x3800827b,2048,635,
0x380087bd,2048,1981,
0x380084a6,2048,1190,
0x380085e8,2048,1512,
0x38008720,2048,1824,
0x38c787ff,2247,2047,
0x3a5787ff,2647,2047,
0x3c1e87ff,3102,2047,
0x3dd5879c,3541,1948,
0x3f8e8439,3982,1081,
0x3f2a8275,3882,629,
0x3e26811f,3622,287,
0x3cd2805d,3282,93,
0x3b858022,2949,34,
0x3a65803b,2661,59,
0x39628087,2402,135,
0x385b80fe,2139,254,
0x380081c0,2048,448,
0x380082e3,2048,739,
0x38008458,2048,1112,
0x380085df,2048,1503,
0x38008728,2048,1832,
0x38bc87ff,2236,2047,
0x3a4787ff,2631,2047,
0x3bdb87ff,3035,2047,
0x3d4a8777,3402,1911,
0x3e638643,3683,1603,
0x3eed84c6,3821,1222,
0x3edf8339,3807,825,
0x3e4081d7,3648,471,
0x3d4680d0,3398,208,
0x3c098022,3081,34,
0x3a9e8fe0,2718,4064,
0x391f8015,2335,21,
0x380080d3,2048,211,
0x3800821d,2048,541,
0x380083be,2048,958,
0x38008554,2048,1364,
0x380086a9,2048,1705,
0x381f87a0,2079,1952,
0x3ae387ff,2787,2047,
0x3c6387ff,3171,2047,
0x3dcc8734,3532,1844,
0x3ee085e4,3808,1508,
0x3f578432,3927,1074,
0x3f058270,3845,624,
0x3ddb80ee,3547,238,
0x3c1b8018,3099,24,
0x3a448012,2628,18,
0x38b080b7,2224,183,
0x380081c2,2048,450,
0x380082f6,2048,758,
0x38008430,2048,1072,
0x3800854a,2048,1354,
0x38008658,2048,1624,
0x3800875c,2048,1884,
0x38b787ff,2231,2047,
0x3a0787ff,2567,2047,
0x3ba687ff,2982,2047,
0x3d5a87ff,3418,2047,
0x3eb986b4,3769,1716,
0x3f6884ee,3944,1262,
0x3f358318,3893,792,
0x3e3b8195,3643,405,
0x3cde80b4,3294,180,
0x3b6d8063,2925,99,
0x3a1d8080,2589,128,
0x38eb80ec,2283,236,
0x3800819f,2048,415,
0x3800828c,2048,652,
0x380083aa,2048,938,
0x3800860c,2048,1548,
0x38008708,2048,1800,
0x38a387d1,2211,2001,
0x39ef87ff,2543,2047,
0x3b6387ff,2915,2047,
0x3cd187d0,3281,2000,
0x3e0386d2,3587,1746,
0x3ec48570,3780,1392,
0x3ee783e5,3815,997,
0x3e8e826b,3726,619,
0x3dbc8121,3516,289,
0x3c67802a,3175,42,
0x3ac18fbc,2753,4028,
0x38fe8ffd,2302,4093,
0x380080e9,2048,233,
0x38008256,2048,598,
0x380083f5,2048,1013,
0x3800858c,2048,1420,
0x380086f9,2048,1785,
0x383387ff,2099,2047,
0x39ce87ff,2510,2047,
0x3b7f87ff,2943,2047,
0x3d0a87b0,3338,1968,
0x3e0d866d,3597,1645,
0x3e5d8502,3677,1282,
0x3e2683bb,3622,955,
0x3d9b82b0,3483,688,
0x3ce381de,3299,478,
0x3c0d813b,3085,315,
0x3b1780c3,2839,195,
0x39f48082,2548,130,
0x38008152,2048,338,
0x38008278,2048,632,
0x38008405,2048,1029,
0x380085d2,2048,1490,
0x38008780,2048,1920,
0x384687ff,2118,2047,
0x3a6487ff,2660,2047,
0x3c8587ff,3205,2047,
0x3e25875e,3621,1886,
0x3efc85a0,3836,1440,
0x3ef983e0,3833,992,
0x3e588278,3672,632,
0x3d6c8187,3436,391,
0x3c8980fc,3209,252,
0x3bb38096,2995,150,
0x3ab18040,2737,64,
0x3973802c,2419,44,
0x38168089,2070,137,
0x38008178,2048,376,
0x380082d5,2048,725,
0x3800844b,2048,1099,
0x38008590,2048,1424,
0x38008688,2048,1672,
0x38cf8728,2255,1832,
0x3a178774,2583,1908,
0x3b868751,2950,1873,
0x3ce186a6,3297,1702,
0x3ddf857c,3551,1404,
0x3e458404,3653,1028,
0x3e0e8298,3598,664,
0x3d678167,3431,359,
0x3b2f8ffc,2863,4092,
0x39b78fe8,2487,4072,
0x3837805f,2103,95,
0x38008164,2048,356,
0x380082b4,2048,692,
0x38008419,2048,1049,
0x38008582,2048,1410,
0x380086d0,2048,1744,
0x381b87d4,2075,2004,
0x39ab87ff,2475,2047,
0x3b5787ff,2903,2047,
0x3cc7876c,3271,1900,
0x3dc2864c,3522,1612,
0x3e4e8510,3662,1296,
0x3e7783cf,3703,975,
0x3e5582a7,3669,679,
0x3df3818c,3571,396,
0x3d3b8083,3387,131,
0x3c118fa1,3089,4001,
0x3a6f8f36,2671,3894,
0x389f8f7e,2207,3966,
0x3800807d,2048,125,
0x38008208,2048,520,
0x380083ec,2048,1004,
0x380085c4,2048,1476,
0x38008730,2048,1840,
0x38ab87f0,2219,2032,
0x3a4c87f8,2636,2040,
0x3b918784,2961,1924,
0x3c8286d1,3202,1745,
0x3d2785fe,3367,1534,
0x3dbe8428,3518,1064,
0x3dc78316,3527,790,
0x3d6a81f2,3434,498,
0x3c8780e1,3207,225,
0x3b1a8031,2842,49,
0x3967801c,2407,28,
0x380080c2,2048,194,
0x380081f6,2048,502,
0x38008356,2048,854,
0x380084ae,2048,1198,
0x380085f2,2048,1522,
0x38008717,2048,1815,
0x384f87ff,2127,2047,
0x39c087ff,2496,2047,
0x3b6787ff,2919,2047,
0x3cf787ff,3319,2047,
0x3e2f8711,3631,1809,
0x3eff85b0,3839,1456,
0x3f588415,3928,1045,
0x3f148269,3860,617,
0x3e2380ea,3619,234,
0x3c8f8fdc,3215,4060,
0x3aa38f8c,2723,3980,
0x38d5800f,2261,15,
0x38008127,2048,295,
0x38008283,2048,643,
0x38008403,2048,1027,
0x38008580,2048,1408,
0x380086d8,2048,1752,
0x385787d1,2135,2001,
0x39fa87ff,2554,2047,
0x3cf98741,3321,1857,
0x3dc28638,3522,1592,
0x3e11851a,3601,1306,
0x3e0f8420,3599,1056,
0x3de9833c,3561,828,
0x3dae8256,3502,598,
0x3d2c8158,3372,344,
0x3c3b8070,3131,112,
0x3adb8fdd,2779,4061,
0x393e8fe4,2366,4068,
0x3800809f,2048,159,
0x38008200,2048,512,
