adc_data,i_data,q_data
0x33ff0c18,1023,3096,
0x32d30c7f,723,3199,
0x319f0d40,415,3392,
0x30930e80,147,3712,
0x30070fff,7,4095,
0x303c0fff,60,4095,
0x314d0fff,333,4095,
0x33090fff,777,4095,
0x34f50fff,1269,4095,
0x36b30fff,1715,4095,
0x37f40fff,2036,4095,
0x38b50fff,2229,4095,
0x38f90fff,2297,4095,
0x38dc0f1e,2268,3870,
0x38620dec,2146,3564,
0x377e0ce6,1918,3302,
0x36230c3e,1571,3134,
0x349e0c28,1182,3112,
0x33350c93,821,3219,
0x320b0d6c,523,3436,
0x31330e85,307,3717,
0x30a30fd0,163,4048,
0x307b0fff,123,4095,
0x30f60fff,246,4095,
0x32190fff,537,4095,
0x33ab0fff,939,4095,
0x35630fff,1379,4095,
0x37180fff,1816,4095,
0x388e0fff,2190,4095,
0x397c0fff,2428,4095,
0x39b60fff,2486,4095,
0x38000d20,2048,3360,
0x36890c86,1673,3206,
0x35060c7d,1286,3197,
0x33b50ce2,949,3298,
0x32a70d90,679,3472,
0x31cb0e67,459,3687,
0x310d0f66,269,3942,
0x30760fff,118,4095,
0x304f0fff,79,4095,
0x30cf0fff,207,4095,
0x32060fff,518,4095,
0x33bf0fff,959,4095,
0x35e50fff,1509,4095,
0x38380fff,2104,4095,
0x3a0f0fff,2575,4095,
0x3ab80fff,2744,4095,
0x3a330ed4,2611,3796,
0x38fd0d7c,2301,3452,
0x379e0cda,1950,3290,
0x36690cb1,1641,3249,
0x35670cc8,1383,3272,
0x34850cf0,1157,3312,
0x33710d2c,881,3372,
0x322f0dc8,559,3528,
0x310e0efa,270,3834,
0x307c0fff,124,4095,
0x30c70fff,199,4095,
0x31f30fff,499,4095,
0x33970fff,919,4095,
0x35380fff,1336,4095,
0x36c80fff,1736,4095,
0x39570fff,2391,4095,
0x3a080fff,2568,4095,
0x3a2a0f98,2602,3992,
0x39a80df7,2472,3575,
0x38840ca9,2180,3241,
0x36fa0be2,1786,3042,
0x35450baf,1349,2991,
0x338b0c15,907,3093,
0x31fe0d0e,510,3342,
0x30d70e80,215,3712,
0x30410fff,65,4095,
0x306b0fff,107,4095,
0x313f0fff,319,4095,
0x328a0fff,650,4095,
0x33f70fff,1015,4095,
0x35830fff,1411,4095,
